model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,servo,0,0.4158522062419902,0.2577562491326804,22808843161460.13,1.3851244399484597,0.8585369389993377,228088431614.6013,0.9139021303340862,-0.3573165339527862,0.232644234590049,0.1166043664882244,2520560980436.943,1.3371713659960796,0.6702079692321581,25205609804.36943,0.91838679497077,-0.1597265122252154,11,0.0,2.909090909090909,32.0,2.909090909090909,0.5563421743984365,0.8783139749901764,0.1254545454545454,0.091462395,0.081891709,0.005092625,0.8181818181818182,0.8181818181818182,C2,C2,C2
complex,no_discretization,servo,0,0.3575768429906861,0.2105880133666717,28543298410277.49,1.3670617119275803,0.8051047368074927,285432984102.7749,0.892255947880958,-0.2170019938592089,0.2782503552301054,0.143142117335566,3234907153165.4414,1.3075187846270728,0.6726352860637612,32349071531.65441,0.892255947880958,-0.1547246876543742,9,0.1111111111111111,2.5555555555555554,24.0,2.6666666666666665,0.6275373343246602,0.8681657848324514,0.1251851851851852,0.081351638,0.073449502,0.0037940689999999,1.0,1.0,C2,C2,C2
complex,no_discretization,servo,0,0.3559135768142899,0.1947776080109635,13392021484896.436,1.5306147895131377,0.8376457289324835,133920214848.96436,0.9031398248781006,-0.1576363978898038,0.2345153973927352,0.12000893732504,1838284990846.5464,1.313177971181538,0.6719946519171722,18382849908.465466,0.906623240364376,-0.1508676236243484,24,0.041666666666666664,2.625,64.0,2.6666666666666665,0.4956701040653333,0.8312957543856316,0.2319444444444444,0.196127358,0.174844051,0.01236832,0.875,0.8333333333333334,C2,C2,C2
complex,no_discretization,servo,0,0.2401863169311311,0.1069246206761271,14677932112710.85,1.5566088262598656,0.6929612411545951,146779321127.1085,0.9139021303340862,-0.0683275583216735,0.2509738410636106,0.1350003864639468,2567883004933.237,1.34188213739618,0.7218067284216955,25678830049.332367,0.9139021303340862,-0.1882280315818125,8,0.25,2.625,23.0,2.875,0.5355384843422032,0.8565577670655132,0.11341059602649,0.069600069,0.062363536,0.0034461599999999,1.0,1.0,C2,C2,C2
complex,no_discretization,servo,0,0.2428167879988322,0.121945847619295,15146477216712.389,1.4919135225296765,0.749258980727661,151464772167.12387,0.9085210493538398,-0.0894030678395421,0.2472953156848227,0.1307740339663969,2728374622797.2485,1.3157378944279965,0.6957849226553808,27283746227.972485,0.9085210493538398,-0.1688976425286563,6,0.0,2.3333333333333335,14.0,2.3333333333333335,0.533146764463948,0.8255801214459849,0.1832229580573951,0.069580061,0.060402738,0.003302893,1.0,1.0,C2,C2,C2
complex,no_discretization,servo,0,0.3539963434967152,0.2223023049721035,18268336463057.47,1.232606716774042,0.7740512558867969,182683364630.57468,0.9184050735001872,-0.5115537871215927,0.2486442521425125,0.128274969245707,6614279161714.775,1.4243756930472322,0.7348319804120934,66142791617.14775,0.9129071899491388,-0.1501783643360266,20,0.1,2.65,55.0,2.75,0.501683397540583,0.8650931754823192,0.1609999999999999,0.276619272,0.260324395,0.011258968,1.0,1.0,C2,C2,C2
complex,no_discretization,servo,0,0.3481666841648859,0.2402511548325758,12829964774700.068,1.1817947539496048,0.8154931741746115,128299647747.00069,0.9384063000381516,-0.7229818684699325,0.2531566129784907,0.1325644020794761,1938751668724.6853,1.3436500049210078,0.703596708025053,19387516687.246853,0.9384063000381516,-0.1870000248346695,10,0.3,2.6,29.0,2.9,0.5125901768476845,0.904130689279768,0.1659999999999999,0.090930723,0.081136368,0.0056182649999999,0.9,0.9,C2,C2,C2
complex,no_discretization,servo,0,0.3277373833796881,0.1755444719841051,17118095601521.611,1.4966397930416695,0.8016383102550366,171180956015.21613,0.9085210493538398,-0.188959360049276,0.2426423477003417,0.125747687992357,2036242159287.0237,1.3460667821046004,0.6975896307350433,20362421592.870235,0.9201213483580554,-0.1728820562562711,23,0.17391304347826086,2.869565217391304,70.0,3.0434782608695654,0.478351623924511,0.8489001125342577,0.1976811594202898,0.370965029,0.3514746569999999,0.012947914,0.8260869565217391,0.782608695652174,C2,C2,C2
complex,no_discretization,servo,0,0.4260635162485383,0.251574290271949,13264766252778.504,1.3656033472407128,0.8063368013765222,132647662527.78503,0.9085210493538398,-0.3645909466515102,0.2325658481600762,0.1171700963481304,1420907138993.2288,1.328956741102618,0.6695479608438146,14209071389.932287,0.9085210493538398,-0.134176230756104,17,0.0,2.9411764705882355,50.0,2.9411764705882355,0.5447251079524885,0.8156337875741343,0.1894117647058824,0.122730815,0.10771762,0.008199431,1.0,1.0,C2,C2,C2
complex,no_discretization,servo,0,0.3656301306620483,0.1992019385240752,16573260227787.71,1.6272569088403206,0.8865591304817829,165732602277.8771,0.8869965819373613,-0.158626969428463,0.2456937548495449,0.1286895862142105,1767020407089.8328,1.3573143697411183,0.7109347354455562,17670204070.898327,0.91838679497077,-0.1979165825324671,16,0.375,2.5,46.0,2.875,0.5061574664633469,0.8780021174367209,0.2007450331125827,0.132023224,0.1200573759999999,0.00757813,0.9375,0.8125,C2,C2,C2
