model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,servo,0,0.218277102454441,0.1615463655667142,25659967563885.285,0.7270394259128777,0.5380801538926885,256599675638.85284,0.459207101304948,0.6260448834663649,0.1397571163476033,0.071376819377475,2908129657240.851,0.8032832384757116,0.410253188675049,29081296572.408512,0.6673520485359428,0.5814774533404047,16,2.0625,0,33.0,2.0625,0.3638773943412179,0.7281858661183451,0.0954166666666666,0.056526052,0.0491285869999999,0.003195894,0.875,0.875,C2,C2,C2
plain,no_discretization,servo,0,0.1734998138933035,0.1107940365489847,28543298410277.44,0.6633118370203691,0.4235796815286699,285432984102.7744,0.4935331672802913,0.7134829012582362,0.1847887979920069,0.0979073725787213,2021814274990.7625,0.8683360866274464,0.4600739096785493,20218142749.907623,0.6105383754819269,0.4907180583136593,10,2.0,0,20.0,2.0,0.3925796164558172,0.7249483125570082,0.114,0.02574341,0.021394194,0.0012928609999999,0.9,0.9,C2,C2,C2
plain,no_discretization,servo,0,0.1907460743937601,0.1141184311040524,12829964774700.744,0.8203080228687143,0.4907690231076501,128299647747.00745,0.4938289273951446,0.6674979856314491,0.1555542169858278,0.0853968605199486,1179437102856.5974,0.8710318100269433,0.4781829990252604,11794371028.565971,0.459207101304948,0.4936553489438605,18,2.2222222222222223,0,40.0,2.2222222222222223,0.3830142535728542,0.7259365467519324,0.08,0.044159846,0.038010081,0.002660254,0.8888888888888888,0.8333333333333334,C2,C2,C2
plain,no_discretization,servo,0,0.1817858138857584,0.1025245822433484,15146477216711.7,1.178124574284308,0.6644453009134621,151464772167.117,0.459207101304948,0.3880331684899482,0.1483443375210343,0.0764634822625011,962953986962.0488,0.7931528475626788,0.4088273924339157,9629539869.62049,0.4878789357226289,0.5848693250013476,14,2.2857142857142856,0,32.0,2.2857142857142856,0.38933437105591,0.7150979455327281,0.0789971617786187,0.032981295,0.027835847,0.002066576,0.9285714285714286,0.9285714285714286,C2,C2,C2
plain,no_discretization,servo,0,0.1557550487953437,0.0964388779627765,25749035502644.426,0.9569892815696104,0.5925392033888016,257490355026.44424,0.459207101304948,0.5517550138125791,0.1524954382031418,0.0795846948419274,1604924738195.2732,0.8113539321019603,0.4234313882171072,16049247381.952732,0.4878789357226289,0.5555136716523295,19,2.1578947368421053,0,41.0,2.1578947368421053,0.374760838980553,0.7142907801418439,0.0759846636458696,0.044801142,0.038141601,0.002948301,0.9473684210526316,0.9473684210526316,C2,C2,C2
plain,no_discretization,servo,0,0.2234392142272721,0.1662104598075241,11528493090530.896,0.7780099464496455,0.5787408060014531,115284930905.30896,0.4351901547173862,0.3977943244193491,0.1523028132193213,0.0749947828505462,1633209720595.0212,0.8724771365636677,0.4296127695582052,16332097205.950212,0.5221994644509752,0.5684568808344195,12,2.1666666666666665,0,26.0,2.1666666666666665,0.4070663959564771,0.7256559960507328,0.0916666666666666,0.031272116,0.026239022,0.001907492,0.9166666666666666,0.9166666666666666,C2,C2,C2
plain,no_discretization,servo,0,0.1721759037427079,0.1295809129694725,27085510757854.32,0.5844228901100176,0.4398411741394511,270855107578.5432,0.4305065677887058,0.57864221058345,0.1471210313216785,0.0720750090011223,1615624236449.8914,0.7808572414268821,0.3825441692383046,16156242364.498913,0.5165794692388712,0.5991132555853667,15,2.2666666666666666,0,34.0,2.2666666666666666,0.3911823017325168,0.737994227994228,0.0786666666666666,0.040304722,0.034239754,0.002439972,0.9333333333333332,0.9333333333333332,C2,C2,C2
plain,no_discretization,servo,0,0.1928793491365501,0.1221923124680457,14255507968670.84,0.8807994565554618,0.5580012733292393,142555079686.7084,0.459207101304948,0.5881998410874754,0.1506779777568987,0.076167408073441,1615624236449.815,0.8358912719709541,0.4225413200060309,16156242364.49815,0.4878789357226289,0.5477061221787738,12,2.25,0,27.0,2.25,0.4228974409756092,0.7377020202020202,0.0855555555555555,0.034116725,0.028792649,0.0018232139999999,0.9166666666666666,0.9166666666666666,C2,C2,C2
plain,no_discretization,servo,0,0.2008727146198924,0.1216572365416467,12829964774699.645,0.6438299478668272,0.3899313672762702,128299647746.99644,0.4879047649113341,0.6966837425917229,0.1446952232343118,0.0791261544296138,2079689310511.14,0.8268354697987736,0.4521525286652718,20796893105.1114,0.6677116124625784,0.5609671163655343,15,1.8666666666666667,0,28.0,1.8666666666666667,0.3954555596825857,0.7610555734512178,0.0955555555555555,0.034578416,0.029598554,0.0018107179999999,0.8666666666666667,0.8666666666666667,C2,C2,C2
plain,no_discretization,servo,0,0.1995354333086197,0.1152474044482497,24234395859051.42,0.8880433672738375,0.5129148814260867,242343958590.51425,0.5427289601990843,0.6549359343546697,0.1804190602310486,0.1021643177622329,962953986963.1842,0.9967098397627192,0.5643981331898045,9629539869.631842,0.52464951225882,0.3540436462333108,14,2.0,0,28.0,2.0,0.3487845840743575,0.6992699465343841,0.0941343424787133,0.043205956,0.037430015,0.0026217019999999,0.7142857142857143,0.6428571428571429,C2,C2,C2
