model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,veteran,0.5,0.3474872363712162,0.2246832539541928,7401526140909.651,1.2710882391809923,0.8218783648703463,74015261409.09651,0.936303374479502,-0.4142117033948889,0.1484049925433354,0.0726053677258147,2479320383059.381,1.2818256722955674,0.6271178799475555,24793203830.593807,0.9208416833667334,0.0870521038659628,16,1.625,1.0625,51.0,3.1875,0.4597783511783196,0.8729971065066684,0.228150406504065,0.2053792476654052,0.129349002,0.016807326,0.8125,0.8125,C2,C2,C2
at_least_M-of-N,no_discretization,veteran,0.375,0.3245579799432754,0.2190961356431753,11222172485186.406,1.279325629679319,0.8636216608847496,112221724851.86406,0.8362890595464413,-0.3454061309259264,0.1688577013234347,0.0805974647170408,1800269130640.1338,1.3958221056065256,0.6662398103619955,18002691306.401337,0.9809619238476954,-0.1084805902069481,16,1.1875,1.4375,48.0,3.0,0.4236600961123775,0.8494521645851891,0.2129065040650406,1.6342411041259766,0.631726367,0.114387752,0.625,0.5,C2,C2,C2
at_least_M-of-N,no_discretization,veteran,0.13333333333333333,0.3263279953047017,0.186777964572698,8712134913731.942,1.3974045443109313,0.7998222041211239,87121349137.31943,0.9434619360949104,-0.4129231092359082,0.1583882784659147,0.0768439742487269,2875175714120.068,1.2718515558844048,0.6170540468979023,28751757141.20068,0.9188376753507014,0.0522002054173443,15,1.6666666666666667,1.0666666666666667,43.0,2.8666666666666667,0.455408357041734,0.8858473059355414,0.1842818428184282,0.914154291152954,0.386226613,0.086241661,0.6666666666666666,0.6,C2,C2,C2
at_least_M-of-N,no_discretization,veteran,0.058823529411764705,0.2764910419007262,0.1298543031282521,8630514745826.869,2.0972614937712177,0.9849810246263287,86305147458.26869,0.9488977955911824,-0.1761106310211746,0.1212926353245705,0.065754904484061,2509040817313.524,1.023888554344219,0.5550682769243879,25090408173.13524,0.6112224448897796,0.2947614629732045,17,1.7647058823529411,1.4705882352941178,56.0,3.2941176470588234,0.4676997565516873,0.8489131469134014,0.1574952561669829,1.1146917343139648,0.6203458009999999,0.122467521,0.7058823529411765,0.5882352941176471,C2,C2,C2
at_least_M-of-N,no_discretization,veteran,0.2,0.2676383515304004,0.1153717105165715,9381503926855.43,1.920542020329322,0.8278941218152651,93815039268.55428,0.9373737373737374,-0.0815491816308993,0.1436191274111631,0.0720893181567749,2217890721805.5693,1.1978994483621677,0.6012831021148043,22178907218.05569,0.9202020202020202,0.0071371630589701,15,1.3333333333333333,1.6666666666666667,48.0,3.2,0.4512889004818952,0.8477293391160937,0.1763440860215054,1.4414703845977783,0.6212944710000001,0.154296456,0.7333333333333333,0.4,C2,C2,C2
at_least_M-of-N,no_discretization,veteran,0.13636363636363635,0.4718394843489206,0.3474062841375796,16124908696583.06,1.2435203820381782,0.9155800001971904,161249086965.8306,0.9709418837675352,-0.930984683799008,0.1279508006613531,0.0707978945285048,1948406241746.4297,1.009089147727834,0.5583504494026394,19484062417.4643,0.6239430994656585,0.3916382324951675,22,2.090909090909091,1.7272727272727273,87.0,3.9545454545454546,0.4515410106431501,0.8612818348155592,0.1341463414634146,5.133817672729492,1.953106054,0.7808873560000001,0.6363636363636364,0.4545454545454545,C2,C2,C2
at_least_M-of-N,no_discretization,veteran,0.5384615384615384,0.370484974899727,0.2404853553220899,28581165048234.277,1.5716300913072283,1.0201601861052585,285811650482.3427,0.9208416833667334,-1.2084312107868151,0.1638153939118533,0.0844054661500213,934137756305.2786,1.317585825203489,0.6788827540151826,9341377563.052786,0.9128256513026052,-0.0130460116159125,13,0.6923076923076923,0.6153846153846154,24.0,1.8461538461538463,0.3732959597807628,0.8164106907585169,0.2451532207629768,0.2100093364715576,0.101375842,0.008941466,0.9230769230769232,0.6153846153846154,C2,C2,C2
at_least_M-of-N,no_discretization,veteran,0.23076923076923078,0.3839249589493579,0.255002138428311,9853605058131.02,1.2304655295381648,0.817272578873791,98536050581.3102,0.9283324631756276,-0.6317626961048832,0.1567713652426108,0.0701351609604446,1946816094188.024,1.3794217023146331,0.6171150131559332,19468160941.88024,0.9478957915831664,-0.0162493202936511,26,2.230769230769231,1.0384615384615385,91.0,3.5,0.4799683528979498,0.8703216077627964,0.1885553470919324,0.771888256072998,0.5485785200000002,0.068374552,0.8846153846153846,0.6923076923076923,C2,C2,C2
at_least_M-of-N,no_discretization,veteran,0.14285714285714285,0.3274400239483706,0.2052058510435201,8422230688056.464,1.2939417371486337,0.8109100780367127,84222306880.56464,0.9182551430993252,-0.4761310951364201,0.1012754266280938,0.0539331705483825,2447080573335.112,0.825331190354181,0.4395215041821784,24470805733.35112,0.4769539078156313,0.6089306134997868,21,2.1904761904761907,0.8571428571428571,67.0,3.1904761904761907,0.436213229794399,0.8119971708881483,0.1169183120402632,1.4321091175079346,0.6697105510000001,0.16345589,0.6190476190476191,0.3809523809523809,C2,C2,C2
at_least_M-of-N,no_discretization,veteran,0.29411764705882354,0.3467889633544743,0.2737176665023634,12576137016817.146,0.9705762874538644,0.7660678528942902,125761370168.17146,0.750019100253133,-0.3892296244370978,0.1577369925631099,0.073354704863721,2329725950605.736,1.287107233526967,0.5985620095143878,23297259506.057358,0.9448897795591182,0.0682001791561929,17,2.0,1.1176470588235294,58.0,3.411764705882353,0.4845443929138719,0.8719241943277729,0.2006641366223908,3.525289297103882,0.947552507,0.288059711,0.6470588235294118,0.5882352941176471,C2,C2,C2
