model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,veteran,0,0.3544512046396923,0.2289412281261264,6124276618955.935,1.2965620328562033,0.8374537884433128,61242766189.55935,0.9278557114228456,-0.4714639486754033,0.1594372062173144,0.0759281244475131,2363390808471.994,1.3771147489445696,0.655817688462569,23633908084.71994,0.9278557114228456,-0.0537275153958678,7,1.1428571428571428,2.0,22.0,3.142857142857143,0.5744007812238742,0.9209483793517408,0.1440185830429732,0.758995047,0.7265712730000001,0.020859978,1.0,1.0,C2,C2,C2
complex,no_discretization,veteran,0,0.3191185772124683,0.2135890436334352,9317699762488.57,1.2578848771675937,0.8419140943220847,93176997624.8857,0.8577154308617234,-0.3006875795572776,0.1610057659186539,0.0760036322832257,1842825597931.8423,1.330915945426158,0.6282659850030367,18428255979.318424,0.9208416833667334,-0.0077880528325742,21,1.2380952380952381,2.7142857142857144,83.0,3.9523809523809526,0.4867011112088511,0.8467855725277172,0.1056910569105691,2.388101497,2.269596016,0.107475616,0.9523809523809524,0.8095238095238095,C2,C2,C2
complex,no_discretization,veteran,0,0.32469835053383,0.1946534468057658,26108758217650.85,1.3904260654761555,0.8335466617817457,261087582176.5085,0.9188376753507014,-0.3988463924244296,0.1667479114814273,0.0843600274409286,2440235123062.455,1.338979075422983,0.6774076541168152,24402351230.62455,0.9188376753507014,-0.0504885896755122,17,1.2941176470588236,2.588235294117647,66.0,3.8823529411764706,0.5474922162239494,0.9104366282658032,0.135820181731229,2.59490976,2.459284536,0.124335867,1.0,1.0,C2,C2,C2
complex,no_discretization,veteran,0,0.2575916094961537,0.0955934322134504,7751468588907.574,1.9539040397149896,0.7251027847429592,77514685889.07574,0.9208416833667334,-0.0208207068113661,0.1250216688846251,0.0664714887707297,2220928536990.6206,1.055367091937935,0.5611173041170084,22209285369.906204,0.6112224448897796,0.2507310157223688,20,1.3,2.15,69.0,3.45,0.4737294057438072,0.8394098548510314,0.1060483870967742,1.738880394,1.6378471619999997,0.089529436,0.75,0.6,C2,C2,C2
complex,no_discretization,veteran,0,0.2647710498385098,0.1213023928637231,12639494913235.064,1.899966593254882,0.8704520160475353,126394949132.35065,0.9202020202020202,-0.0584993006517648,0.1457826422130583,0.0731310652521113,1218042416957.342,1.2159449081447913,0.6099721137620052,12180424169.57342,0.9202020202020202,-0.023001621981443,22,1.0,2.590909090909091,79.0,3.590909090909091,0.4556426557699284,0.8256819581918395,0.1290322580645161,2.639052127,2.510110198,0.118314931,0.7727272727272727,0.5454545454545454,C2,C2,C2
complex,no_discretization,veteran,0,0.4667515195716168,0.3357824392152384,13525737191739.936,1.2301111865097456,0.8849456667892356,135257371917.39935,0.9188376753507014,-0.8895646211590562,0.1673283060466309,0.0821169071984635,3338608648930.917,1.319641431445431,0.6476182991481011,33386086489.309174,0.9188376753507014,-0.0404344559584437,33,1.0909090909090908,2.6666666666666665,124.0,3.757575757575758,0.5063813836740034,0.8585197879645707,0.1263858093126385,3.493811622,3.3070957729999995,0.172339083,0.9090909090909092,0.7575757575757576,C2,C2,C2
complex,no_discretization,veteran,0,0.3091463874748836,0.1963907038117758,17335607758424.943,1.311426368386334,0.8331067672774859,173356077584.24942,0.9677431715556646,-0.5376979257249039,0.1685734588508149,0.0860271113579797,697072135491.9706,1.3558554820975584,0.6919258306668489,6970721354.919705,0.9208416833667334,-0.0727490681592462,9,1.1111111111111112,2.4444444444444446,32.0,3.5555555555555554,0.5048623355830822,0.8768778754620432,0.1689250225835591,1.341804793,1.284040551,0.045424054,1.0,1.0,C2,C2,C2
complex,no_discretization,veteran,0,0.4003318152134472,0.2725391074554772,5269388309562.466,1.2830489071239706,0.8734779267614569,52693883095.62466,0.9799599198396792,-0.7742079420827712,0.1571772074496158,0.0733558694087082,1670459818473.723,1.3829926831961974,0.6454538307932454,16704598184.737226,0.9278557114228456,-0.0215177660303709,13,0.8461538461538461,2.3076923076923075,41.0,3.1538461538461537,0.4984612117732555,0.883010943305061,0.1257035647279549,1.75811087,1.661257886,0.082237479,0.7692307692307693,0.7692307692307693,C2,C2,C2
complex,no_discretization,veteran,0,0.3293613691302438,0.2058369176221129,7821707876150.046,1.3015342992683063,0.813403858042939,78217078761.50046,0.937175123880046,-0.4935051369731322,0.1566270818057934,0.0828105309260813,2496056867747.922,1.2764124543575894,0.6748538746133038,24960568677.479218,0.9208416833667334,0.0646387581523584,17,1.2941176470588236,2.6470588235294117,67.0,3.9411764705882355,0.4744992698155392,0.8600147818911641,0.1377331420373027,2.2174669,2.115157568,0.0895342559999999,0.8235294117647058,0.8235294117647058,C2,C2,C2
complex,no_discretization,veteran,0,0.4062397276167263,0.2989893137173341,9135859536332.332,1.1369642298664695,0.8367969248188728,91358595363.32332,0.9278557114228456,-0.9063747866278916,0.163332770657336,0.0749337507389836,2685255640875.151,1.332767838216184,0.6114467573157526,26852556408.75151,0.9278557114228456,0.0009156214865392,27,1.0,2.4814814814814814,94.0,3.4814814814814814,0.4828002330899316,0.8535354117148186,0.1385902031063321,3.738110417,3.5558123509999997,0.1695264849999999,0.8888888888888888,0.8148148148148148,C2,C2,C2
