model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,veteran,0.7333333333333333,0.357704179360394,0.2376925750715698,8838609427165.207,1.3084612264870732,0.8694657100767803,88386094271.65207,0.9294454439044354,-0.4985965955832676,0.1653217137460097,0.0819851206190534,2732787741195.978,1.4279412925117985,0.7081340765881853,27327877411.95978,0.9524464384305464,-0.1329448417437968,15,1.0666666666666667,0.8,39.0,2.6,0.3929718565790045,0.8562573644989556,0.246070460704607,0.1670536994934082,0.098134382,0.0135167069999999,0.8,0.7333333333333333,C2,C2,C2
exact_M-of-N,no_discretization,veteran,0.6666666666666666,0.3357514591364379,0.2132005172489368,6228672510044.999,1.3234474991203282,0.8403826213890134,62286725100.44999,0.9178356713426854,-0.4398081799648656,0.1701163119497022,0.0801723876445213,1744060934410.8518,1.4062261115874577,0.6627260116441467,17440609344.108517,0.9819639278557114,-0.1250666851268054,18,0.8888888888888888,0.7777777777777778,42.0,2.3333333333333335,0.462233278497684,0.8857817232577871,0.2122854561878952,1.4652893543243408,0.4877777170000001,0.1045348599999999,0.9444444444444444,0.7222222222222222,C2,C2,C2
exact_M-of-N,no_discretization,veteran,0.4444444444444444,0.3305475201620331,0.1942669066371531,6862883421457.569,1.4154734298963136,0.8318914161517356,68628834214.57569,0.939879759519038,-0.44969843141535,0.1673434329552232,0.0801136668831891,1699769648674.7168,1.34376108909436,0.6433095482814816,16997696486.747168,0.9493505312335792,-0.0580053929408161,18,1.3333333333333333,0.7222222222222222,45.0,2.5,0.4434591418317437,0.8595970685205959,0.2073170731707317,0.8264684677124023,0.307755186,0.06679855,0.8333333333333334,0.7777777777777778,C2,C2,C2
exact_M-of-N,no_discretization,veteran,0.55,0.2717231582994726,0.1168409652202432,11242248500790.56,2.0610957698658376,0.8862712352882005,112422485007.90558,0.9559118236472944,-0.1358980479903524,0.1286341614854234,0.068836799837498,2625871213294.702,1.0858618521244283,0.5810840145627598,26258712132.94702,0.7537216907959086,0.2068052857861007,20,1.3,0.7,51.0,2.55,0.4055846687113148,0.8175103169251029,0.1713709677419354,1.093817949295044,0.569384352,0.108766912,0.5,0.3,C2,C2,C2
exact_M-of-N,no_discretization,veteran,0.631578947368421,0.2677891563054431,0.1223124858499233,15399505833389.729,1.9216241780458063,0.8777003271111199,153995058333.89728,0.9330320963802352,-0.0827683546786623,0.1411560039487198,0.0717786161412644,1903463192050.317,1.177355010513986,0.5986915965145826,19034631920.50317,0.9131313131313132,0.0409010882799277,19,1.105263157894737,1.2105263157894737,56.0,2.9473684210526314,0.4248194818594455,0.8276508568472885,0.1595925297113752,1.47436261177063,0.61434183,0.196474888,0.5263157894736842,0.2105263157894736,C2,C2,C2
exact_M-of-N,no_discretization,veteran,0.6153846153846154,0.4531941542414481,0.3236598327297265,12083815210868.94,1.1943811116134793,0.8529968605782348,120838152108.6894,0.909348674360404,-0.7813894107956847,0.1443357562618936,0.0708559456319091,2054235501886.94,1.1383097606278507,0.558808271769957,20542355018.8694,0.9468937875751504,0.2258524183192271,26,1.9230769230769231,1.0,92.0,3.5384615384615383,0.4846790977392652,0.8699897638339107,0.1513445903689806,3.9923996925354,1.3589067220000002,0.2844624169999999,0.7307692307692307,0.4615384615384615,C2,C2,C2
exact_M-of-N,no_discretization,veteran,0.2727272727272727,0.3018811403047435,0.1969904594010993,23578093369604.797,1.280606546134521,0.8356509836302964,235780933696.04797,0.9208416833667334,-0.466272333996941,0.1770074062158552,0.0998146973626063,920235164748.4526,1.423690678981857,0.8028209513857543,9202351647.484526,0.9208416833667334,-0.1827763347432482,11,0.9090909090909091,1.0,24.0,2.1818181818181817,0.2831154918876271,0.8206177593497497,0.2690317812269032,0.1949942111968994,0.090189348,0.008408339,0.9090909090909092,0.8181818181818182,C2,C2,C2
exact_M-of-N,no_discretization,veteran,0.6071428571428571,0.3937915021740227,0.2615919802135041,10766118694565.752,1.262087441713064,0.8383927821134556,107661186945.65752,0.9759519038076152,-0.7167101999133065,0.1556422818144733,0.067279704694572,2310232995349.5205,1.369486965941786,0.5919900272437454,23102329953.495205,0.9729458917835672,-0.0016637700627881,28,1.9642857142857142,0.75,93.0,3.3214285714285716,0.4746442812821567,0.8583931948914526,0.1451800232288037,0.7790851593017578,0.4930189129999999,0.0713696399999999,0.7142857142857143,0.5714285714285714,C2,C2,C2
exact_M-of-N,no_discretization,veteran,0.5625,0.3253837248240711,0.1986826055759448,10109742129031.818,1.2858158787733829,0.7851322287976952,101097421290.31818,0.9343957599974432,-0.4576493218855157,0.1412699229432779,0.0720708764234362,2866686123643.259,1.151261244173083,0.5873324281008093,28666861236.432587,0.9028056112224448,0.2390693565929399,16,1.6875,0.8125,49.0,3.0625,0.4466329073830857,0.8452629021924551,0.1961382113821138,1.162463903427124,0.386665706,0.082573349,0.75,0.625,C2,C2,C2
exact_M-of-N,no_discretization,veteran,0.6666666666666666,0.3591779915480759,0.2740655654995588,8416011604813.652,1.0052501042702782,0.767041535891121,84160116048.13652,0.7507972798601659,-0.4902630585893959,0.1499674108307196,0.0687748014005865,1598339909235.5537,1.223708758085403,0.5611907703366338,15983399092.355536,0.9198396793587176,0.1577339469438523,24,1.9166666666666667,0.9583333333333334,85.0,3.5416666666666665,0.4751396412438111,0.8594341681291118,0.1451612903225806,4.3362205028533936,1.4353059970000006,0.5727620560000001,0.8333333333333334,0.7083333333333334,C2,C2,C2
