model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,GBSG2,0.25,0.1752795048944432,0.1821867994267701,4,9.0,0.25,1.75,2.25,1.0,1.0,0.3221231766612641,1.9231340885162356,0.891407918,0.461320065,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,GBSG2,0.16666666666666666,0.1626992352916561,0.1873363738198116,6,13.0,1.0,1.0,2.1666666666666665,0.9999999995543,1.0,0.3295515937331172,0.6187841892242432,0.215160346,0.2273524019999999,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,GBSG2,0.2857142857142857,0.1715894067624129,0.2288784977608723,7,22.0,1.5714285714285714,1.2857142857142858,3.142857142857143,0.9999999999965624,1.0,0.2852519648636153,9.24246382713318,1.463467422,1.5403602370000002,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,GBSG2,0.14285714285714285,0.1686896609967506,0.1323861858744888,7,18.0,1.5714285714285714,0.8571428571428571,2.5714285714285716,0.999999999975872,1.0,0.2919556171983357,12.007314443588257,0.587486183,0.515749338,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,GBSG2,0.0,0.1751960105592818,0.1522061900539573,5,17.0,1.0,2.4,3.4,0.9999999999919056,1.0,0.3961165048543689,83.87461185455322,1.5022676860000002,3.823514538,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,GBSG2,1.0,0.1887881120309616,0.2506392375579549,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.261465787887573,0.137268281,0.268827457,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,GBSG2,0.16666666666666666,0.1645181769684854,0.193861157326862,6,13.0,1.8333333333333333,0.16666666666666666,2.1666666666666665,0.9999999997768776,1.0,0.2922744462452728,17.262075901031494,0.955236924,1.921953755,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,GBSG2,0.0,0.1737696586652045,0.1504993480583898,7,14.0,1.7142857142857142,0.2857142857142857,2.0,0.999999998817218,1.0,0.3236860384348228,1.4597084522247314,0.4162111859999999,0.448147796,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,GBSG2,0.0,0.1739074456882769,0.1922213296076105,2,2.0,0.0,1.0,1.0,1.0,1.0,0.5,1.5067684650421145,0.097097761,0.065528676,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,GBSG2,0.5,0.1837545750932581,0.192213067452849,2,5.0,1.0,1.0,2.5,1.0,1.0,0.5444983818770226,4.6767737865448,0.24241794,0.422026182,1.0,1.0,Correlation,Correlation,Correlation
