model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,GBSG2,0,0.1673175991014142,0.1728772314412845,5,33.0,1.0,5.6,6.6,1.0,1.0,0.3915721231766612,4960.929741378,4915.059233312,45.86076055499999,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,GBSG2,0,0.170605857037739,0.1818386126222224,4,20.0,0.5,4.5,5.0,0.9999999586747051,1.0,0.4193679092382496,3454.266256141,3415.581267889,38.675089742,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,GBSG2,0,0.1574986756478111,0.2072716978220364,11,70.0,1.9090909090909092,4.454545454545454,6.363636363636363,0.998793856952184,1.0,0.2867019711679907,15733.518649451,15593.716198578002,139.789829423,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,GBSG2,0,0.1592574347535522,0.1396570425357148,13,71.0,1.9230769230769231,3.5384615384615383,5.461538461538462,0.9969989872247628,1.0,0.2089868060741847,5659.180438457,5589.541488577,69.6255274,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,GBSG2,0,0.173231115466458,0.1395746977876588,12,134.0,1.0,10.166666666666666,11.166666666666666,0.9832714241553088,1.0,0.3244336569579287,18133.02484298,18003.815551390002,129.180561045,0.9166666666666666,0.9166666666666666,Correlation,Correlation,Correlation
complex,no_discretization,GBSG2,0,0.1592908923248689,0.2477348565566668,8,60.0,1.25,6.25,7.5,1.0,1.0,0.4003241491085899,9147.585285633,9060.72057068,86.850688346,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,GBSG2,0,0.1600346995929859,0.1977712205430736,8,75.0,1.375,8.0,9.375,0.9999999990739826,1.0,0.3644651539708265,13270.284687411,13155.629976953,114.64220174000002,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,GBSG2,0,0.1638226906253982,0.1584243921354969,9,39.0,1.5555555555555556,2.7777777777777777,4.333333333333333,0.999999636776201,1.0,0.2056546011165135,1865.255858246,1846.005451921,19.237521581000003,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,GBSG2,0,0.1595087390361834,0.1907373204263566,9,45.0,1.5555555555555556,3.4444444444444446,5.0,0.9999999999999628,1.0,0.2733657482441923,5234.178371331,5190.864605423001,43.30433158500001,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,GBSG2,0,0.1589507665868254,0.1822751409213142,6,55.0,1.1666666666666667,8.0,9.166666666666666,0.9999999999008784,1.0,0.4374325782092771,8750.081247986,8674.742470046,75.320096136,1.0,1.0,Correlation,Correlation,Correlation
