model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,GBSG2,0.6,0.1721070254259222,0.1726792101024064,5,19.0,0.4,2.8,3.8,1.0,1.0,0.3348460291734197,1.6578216552734375,0.396047704,0.737197287,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,GBSG2,0.14285714285714285,0.1641327063306778,0.1907629590544684,7,16.0,1.1428571428571428,1.0,2.2857142857142856,0.9999999981745836,1.0,0.3521648529752257,0.9216558933258056,0.352009874,0.396588444,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,GBSG2,0.0,0.1715917612231171,0.2276502206341148,7,18.0,1.5714285714285714,1.0,2.5714285714285716,0.9999999999941362,1.0,0.2877947295423024,10.422881364822388,2.396318847,1.7101432160000003,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,GBSG2,0.25,0.1648263939919648,0.1438616978944794,8,23.0,1.5,1.125,2.875,0.9999999999712882,1.0,0.3367718446601941,12.914140939712524,0.791560706,0.657234151,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,GBSG2,0.4,0.1741812857129566,0.1513979137337219,5,18.0,1.0,2.2,3.6,0.9999999999999848,1.0,0.3889967637540453,85.67610359191895,1.731444641,3.840649862,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,GBSG2,0.16666666666666666,0.1626982866450823,0.2295793110990459,6,30.0,1.6666666666666667,3.1666666666666665,5.0,0.9999999999999996,1.0,0.3460291734197731,6.739628791809082,1.370328682,1.790838473,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,GBSG2,0.125,0.1646973970651532,0.1920800045474516,8,40.0,1.75,3.125,5.0,0.999996613380504,1.0,0.3239465153970826,21.598554134368896,2.099198209,4.697801048,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,GBSG2,0.15384615384615385,0.1653813348634195,0.1379721005527124,13,37.0,2.0,0.6923076923076923,2.8461538461538463,0.9999999998258856,1.0,0.2887420521132028,2.5071346759796143,0.91853117,0.977270841,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,GBSG2,0.0,0.1739074456882769,0.1922213296076105,2,2.0,0.0,1.0,1.0,1.0,1.0,0.5,1.5542850494384766,0.152285646,0.068269991,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,GBSG2,0.0,0.1756290225679063,0.1904007666095494,3,6.0,0.6666666666666666,1.3333333333333333,2.0,1.0,1.0,0.3629989212513484,4.826104402542114,0.4068488469999999,0.5794129849999999,1.0,1.0,Correlation,Correlation,Correlation
