model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,GBSG2,0,0.1704453884421103,0.1729443256121869,5,7.0,1.4,0.0,1.4,0.999993189897457,1.0,0.5173419773095624,11.766966085,6.724448515000001,5.037356217999999,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,GBSG2,0,0.1744356058286332,0.180491078873539,5,6.0,1.2,0.0,1.2,0.9999999999990256,1.0,0.6888168557536467,13.662590675,9.25205089,4.404137708,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,GBSG2,0,0.1671763935739497,0.1965419617100876,8,16.0,2.0,0.0,2.0,0.9999970441443368,1.0,0.4039239482200647,16.136594214,9.734322289,6.396576403,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,GBSG2,0,0.1822774184826166,0.1652865889552806,10,24.0,2.4,0.0,2.4,0.9823726997721832,1.0,0.4671521035598706,57.154450994,35.536173071,21.612921428000003,0.9,0.9,Correlation,Correlation,Correlation
plain,no_discretization,GBSG2,0,0.1697963515795733,0.149311222416111,8,22.0,2.75,0.0,2.75,0.9575985943526176,1.0,0.2821601941747573,48.546517339,25.722251404,22.818825294,0.875,0.875,Correlation,Correlation,Correlation
plain,no_discretization,GBSG2,0,0.164588136349216,0.2335212286198902,12,32.0,2.6666666666666665,0.0,2.6666666666666665,0.9921667804398564,1.0,0.3209076175040519,44.378476629,26.522823681,17.848722974999998,0.9166666666666666,0.9166666666666666,Correlation,Correlation,Correlation
plain,no_discretization,GBSG2,0,0.1707455923458654,0.1873085645934618,7,13.0,1.8571428571428572,0.0,1.8571428571428572,0.9992231561186912,1.0,0.4130585783746237,12.187812997,7.607121743,4.575261049,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,GBSG2,0,0.1672659510806261,0.1553552974504767,7,9.0,1.2857142857142858,0.0,1.2857142857142858,0.9999901880382492,1.0,0.4589025237323454,14.411910545,8.678657652,5.727201808,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,GBSG2,0,0.1692719406470214,0.1871901195335019,5,9.0,1.8,0.0,1.8,0.9999999999882696,1.0,0.4933549432739059,9.655412995,6.535099160000001,3.1155638070000005,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,GBSG2,0,0.1769598912481082,0.1917864956889428,6,12.0,2.0,0.0,2.0,0.9999992941301042,1.0,0.4573894282632147,45.972768397,28.265221408,17.702358557,1.0,1.0,Correlation,Correlation,Correlation
