model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,Melanoma,1.0,0.1639170304078158,0.2818875033046309,2,4.0,0.0,1.0,2.0,0.999999954793211,1.0,0.4945652173913043,1.169464349746704,0.017413644,0.001637105,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,Melanoma,1.0,0.1699965057125133,0.1603486105996185,5,16.0,1.8,0.4,3.2,0.9999999026860834,1.0,0.3826086956521739,0.5066447257995605,0.050652566,0.00530548,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,Melanoma,0.6666666666666666,0.1793006023016857,0.1749392297282848,3,7.0,0.3333333333333333,1.3333333333333333,2.3333333333333335,0.999999836134977,1.0,0.4756756756756757,0.3264708518981933,0.040561156,0.0115155679999999,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,Melanoma,1.0,0.1594311460219086,0.1953811519442339,3,7.0,1.0,0.3333333333333333,2.3333333333333335,0.999999819892775,1.0,0.5063063063063064,1.0178687572479248,0.018753051,0.000988323,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,Melanoma,1.0,0.1628090939553302,0.215799800111686,3,6.0,0.0,1.0,2.0,0.9999999994564104,1.0,0.5477477477477478,0.5396971702575684,0.017321481,0.001556895,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,Melanoma,0.8333333333333334,0.1679254356690274,0.1706839453967084,6,20.0,0.3333333333333333,2.1666666666666665,3.3333333333333335,0.9999999986510048,1.0,0.5081521739130435,1.0940871238708496,0.1082762599999999,0.0242053749999999,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,Melanoma,0.8333333333333334,0.1593412143984973,0.214544562431144,6,20.0,0.5,2.0,3.3333333333333335,0.9999999864563874,1.0,0.5643115942028986,0.6187283992767334,0.064039394,0.0127705199999999,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,Melanoma,0.75,0.1688406705214203,0.2838107310041659,4,10.0,0.25,1.5,2.5,0.999999993854648,1.0,0.625,0.2022480964660644,0.038599407,0.0125244509999999,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,Melanoma,1.0,0.1681169406408004,0.1828065682398754,3,7.0,1.0,0.3333333333333333,2.3333333333333335,0.999999999792256,1.0,0.5261261261261262,0.1483967304229736,0.030639472,0.001929811,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,Melanoma,0.0,0.1573516811579695,0.2435586747627923,3,5.0,1.0,0.6666666666666666,1.6666666666666667,0.9999998856710548,1.0,0.5027027027027028,0.4601585865020752,0.280770402,0.00585176,1.0,1.0,Correlation,Correlation,Correlation
