model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,Melanoma,0.3333333333333333,0.1662474877110537,0.2687650582916908,3,6.0,0.6666666666666666,1.0,2.0,0.9999999479136188,1.0,0.5072463768115942,1.2927727699279783,0.12452447,0.0806491,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,Melanoma,1.0,0.1588720147679234,0.1702759068244045,3,4.0,0.3333333333333333,0.0,1.3333333333333333,0.9999996146892492,1.0,0.4293478260869565,0.4247889518737793,0.024457428,0.00192945,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,Melanoma,0.2,0.1567253190241825,0.1830890297963457,5,17.0,1.0,2.2,3.4,0.9999998356558176,1.0,0.4594594594594595,0.408797025680542,0.1208013409999999,0.077149777,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,Melanoma,1.0,0.1574178533764346,0.1884519314859427,2,2.0,0.0,0.0,1.0,0.9999999451373552,1.0,0.5,0.9679198265075684,0.011621235,0.0006130739999999,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,Melanoma,0.2857142857142857,0.1449323775680188,0.2047529090623427,7,29.0,0.42857142857142855,3.4285714285714284,4.142857142857143,0.9999999966425052,1.0,0.454054054054054,1.085416316986084,0.298801755,0.261997602,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,Melanoma,0.2727272727272727,0.168298401119527,0.1636679136496607,11,55.0,1.0909090909090908,3.6363636363636362,5.0,0.9999999952511438,1.0,0.3997035573122529,2.040055274963379,0.580596322,0.518668725,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,Melanoma,0.1,0.164511095401889,0.2107410557317194,10,55.0,1.1,4.3,5.5,0.999999967912382,1.0,0.4614130434782608,1.585187911987305,0.541395376,0.502804348,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,Melanoma,0.16666666666666666,0.1652698204957116,0.1883784721134388,12,57.0,1.0,3.5833333333333335,4.75,0.9999999693506018,1.0,0.5982789855072465,0.6244964599609375,0.2941663639999999,0.1766551479999999,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,Melanoma,0.2,0.1644881453979503,0.2137343909527092,5,15.0,0.8,2.0,3.0,0.999999997226267,1.0,0.5124324324324324,0.2864861488342285,0.1128264379999999,0.0529164009999999,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,Melanoma,0.0,0.1840206894915218,0.2386436153131899,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1797869205474853,0.008027339,0.000365702,1.0,1.0,Correlation,Correlation,Correlation
