model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,Melanoma,0,0.1452061760359587,0.1920858681471713,11,32.0,2.909090909090909,0.0,2.909090909090909,0.9976241297365316,1.0,0.3018774703557312,2.175172683,1.748859926,0.4211640609999999,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,Melanoma,0,0.1517216860883869,0.1938436418882566,10,25.0,2.5,0.0,2.5,0.9967028061961704,1.0,0.3847826086956522,1.904916545,1.5531733309999998,0.347171784,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,Melanoma,0,0.1474699155525137,0.1590059550627178,9,22.0,2.4444444444444446,0.0,2.4444444444444446,0.9898398413569288,1.0,0.3141141141141141,1.414820767,1.1879173740000002,0.2230943949999999,0.8888888888888888,0.8888888888888888,Correlation,Correlation,Correlation
plain,no_discretization,Melanoma,0,0.1583530366449591,0.2109980401768623,6,12.0,2.0,0.0,2.0,0.9999719717628116,1.0,0.4594594594594594,0.921504093,0.760642256,0.157385323,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,Melanoma,0,0.1502969530555913,0.2114790462905905,8,14.0,1.75,0.0,1.75,0.99999778745421,1.0,0.4175675675675676,1.763202776,1.395201224,0.3636650119999999,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,Melanoma,0,0.1519572021508948,0.1389427169148586,11,28.0,2.5454545454545454,0.0,2.5454545454545454,0.999998843529086,1.0,0.3858695652173913,1.460607267,1.221188914,0.233615075,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,Melanoma,0,0.1534140164280565,0.1709566196330271,12,28.0,2.3333333333333335,0.0,2.3333333333333335,0.9998470801067844,1.0,0.3881340579710144,1.784433783,1.4645939580000005,0.3155612,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,Melanoma,0,0.1794232067916475,0.1907190401594556,5,10.0,2.0,0.0,2.0,0.9999975811232614,1.0,0.417391304347826,0.917316073,0.762650045,0.149944358,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,Melanoma,0,0.1528145143848514,0.1877284272083271,12,27.0,2.25,0.0,2.25,0.9999997299880944,1.0,0.4306306306306307,1.739145636,1.394037844,0.341162897,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,Melanoma,0,0.1671271734305131,0.2228801158098808,9,22.0,2.4444444444444446,0.0,2.4444444444444446,0.9999143854701456,1.0,0.4552552552552552,1.196125955,1.016166571,0.176190173,1.0,1.0,Correlation,Correlation,Correlation
