model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,bmt-ch,0.7333333333333333,0.2056671145906737,0.6611987209926077,15,56.0,0.8666666666666667,2.1333333333333333,3.7333333333333334,0.9982307893325412,1.0,0.2134920634920635,0.3331906795501709,0.147601134,0.026807512,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,bmt-ch,0.8333333333333334,0.1954087807385912,0.1714775463855993,18,56.0,0.3888888888888889,1.8888888888888888,3.111111111111111,0.9996285204901356,1.0,0.1415343915343915,0.655142068862915,0.230884265,0.032009822,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,bmt-ch,1.0,0.2130916777320731,0.2084884222686862,2,2.0,0.0,0.0,1.0,1.0,1.0,0.5,0.3068435192108154,0.025748831,0.005678433,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,bmt-ch,0.0,0.2006256461728055,0.2709703390809405,4,7.0,0.0,1.75,1.75,0.9999999922237311,1.0,0.4511834319526627,0.9907057285308838,0.099425436,0.016101471,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,bmt-ch,0.0,0.2016892025904596,0.1845566624407732,5,12.0,0.0,2.4,2.4,0.9999999869320426,1.0,0.4875739644970414,0.2298309803009033,0.062237845,0.013421775,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,bmt-ch,1.3333333333333333,0.1948426766132021,0.2712337039439417,6,19.0,1.1666666666666667,0.6666666666666666,3.1666666666666665,0.9846283573528564,1.0,0.2390873015873016,0.7903861999511719,0.2260347809999999,0.069359073,0.8333333333333334,0.8333333333333334,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,bmt-ch,1.1428571428571428,0.2073235326383429,0.159915916079298,7,17.0,0.8571428571428571,0.42857142857142855,2.4285714285714284,0.9999999959289224,1.0,0.3622448979591836,0.261016845703125,0.084833025,0.023481848,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,bmt-ch,0.6666666666666666,0.208817113207774,0.2742441748170501,9,25.0,0.8888888888888888,1.2222222222222223,2.7777777777777777,0.9919290632125892,1.0,0.2797619047619047,0.5329141616821289,0.109601562,0.0294652919999999,0.8888888888888888,0.8888888888888888,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,bmt-ch,0.0,0.2060728683912109,0.2052828720243051,2,2.0,1.0,0.0,1.0,1.0,1.0,0.5,0.3260490894317627,0.025073969,0.004793982,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,bmt-ch,1.25,0.1931895353461757,0.2508058461341194,4,9.0,0.5,0.5,2.25,0.99998718168684,1.0,0.3136094674556213,0.6410560607910156,0.109792838,0.014453588,1.0,1.0,Correlation,Correlation,Correlation
