model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,bmt-ch,0,0.1958308976558543,0.3576789331063053,11,38.0,0.0,3.4545454545454546,3.4545454545454546,0.9784070591218956,1.0,0.2386363636363636,2536.736228019,2486.817475981,49.893355281,0.6363636363636364,0.6363636363636364,Correlation,Correlation,Correlation
complex,no_discretization,bmt-ch,0,0.1734284269745411,0.2431294694398922,17,63.0,0.0,3.7058823529411766,3.7058823529411766,0.9674342789181054,1.0,0.1337535014005602,3175.555126671,3117.294089416,58.232352917,0.7058823529411765,0.5882352941176471,Correlation,Correlation,Correlation
complex,no_discretization,bmt-ch,0,0.1998973240908299,0.1496244839997379,10,33.0,0.0,3.3,3.3,0.9939350694991422,1.0,0.269047619047619,2013.725849057,1969.214738173,44.483291198,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,bmt-ch,0,0.1326210315840784,0.3025515088305129,18,77.0,0.05555555555555555,4.222222222222222,4.277777777777778,0.9503698622284422,1.0,0.108809993425378,3253.026084135,3155.555420132001,97.434991664,0.6666666666666666,0.5,Correlation,Correlation,Correlation
complex,no_discretization,bmt-ch,0,0.1558505229927425,0.2420676033672382,13,42.0,0.0,3.230769230769231,3.230769230769231,0.9581804026177718,1.0,0.2130177514792899,2831.568842886,2781.990046409,49.553998634,0.6923076923076923,0.6923076923076923,Correlation,Correlation,Correlation
complex,no_discretization,bmt-ch,0,0.1607384448407734,0.2545035452574193,16,62.0,0.0625,3.8125,3.875,0.9770799985840184,1.0,0.1848958333333333,1913.05316979,1872.37661646,40.64964416499999,0.8125,0.625,Correlation,Correlation,Correlation
complex,no_discretization,bmt-ch,0,0.1675204495249252,0.1002158813553295,8,28.0,0.0,3.5,3.5,0.9844821018974362,1.0,0.2499999999999999,2083.566232925,2046.559559891,36.98009084,0.75,0.625,Correlation,Correlation,Correlation
complex,no_discretization,bmt-ch,0,0.198662456644401,0.251542363646714,12,39.0,0.16666666666666666,3.0833333333333335,3.25,0.9879608624453436,1.0,0.2544642857142857,2886.105080311,2830.6920558740003,55.383187343,0.9166666666666666,0.75,Correlation,Correlation,Correlation
complex,no_discretization,bmt-ch,0,0.2006133066720077,0.2889975168609844,13,42.0,0.07692307692307693,3.1538461538461537,3.230769230769231,0.9821121794992492,1.0,0.3186813186813187,2518.747480956,2470.937916944,47.780867955000005,0.8461538461538461,0.7692307692307693,Correlation,Correlation,Correlation
complex,no_discretization,bmt-ch,0,0.1723561571912467,0.248095881019244,14,55.0,0.0,3.9285714285714284,3.9285714285714284,0.9697630964589232,1.0,0.1699070160608622,2967.158378461,2911.340568682,55.791982998,0.7857142857142857,0.5714285714285714,Correlation,Correlation,Correlation
