model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,bmt-ch,1.2857142857142858,0.2091301904314894,0.739442778551445,14,39.0,0.2857142857142857,1.2142857142857142,2.7857142857142856,0.9982518339388008,1.0,0.2512755102040817,0.3170256614685058,0.132673082,0.0244637009999999,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,bmt-ch,0.7333333333333333,0.2131184215921335,0.1477455200601383,15,44.0,0.4666666666666667,1.7333333333333334,2.933333333333333,0.9898321502238628,1.0,0.1861111111111111,0.5744595527648926,0.204032573,0.031253486,0.9333333333333332,0.9333333333333332,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,bmt-ch,0.5555555555555556,0.1677092493204802,0.1926457114883587,9,28.0,0.3333333333333333,2.2222222222222223,3.111111111111111,0.9999999995956528,1.0,0.2526455026455026,0.399285078048706,0.131337873,0.043597959,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,bmt-ch,1.0526315789473684,0.1921233151448843,0.3158518829952399,19,70.0,0.3684210526315789,2.263157894736842,3.6842105263157894,0.9986768163781418,1.0,0.13640610401744,1.3871893882751465,0.4199123459999999,0.0851351809999999,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,bmt-ch,0.25,0.1997882763652893,0.1837475653937061,4,9.0,0.0,2.0,2.25,0.999999997948632,1.0,0.4881656804733728,0.2219674587249755,0.048744233,0.010400319,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,bmt-ch,1.1666666666666667,0.164292043892149,0.2349695469456947,18,67.0,1.0555555555555556,1.5,3.7222222222222223,0.9884084922152822,1.0,0.1643518518518518,1.9066545963287356,1.081867,0.281754507,0.8888888888888888,0.7777777777777778,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,bmt-ch,0.0,0.2092685695653193,0.1544570208904893,6,11.0,1.1666666666666667,0.6666666666666666,1.8333333333333333,0.9947640295271084,1.0,0.2896825396825396,0.2375862598419189,0.070345038,0.017893326,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,bmt-ch,0.75,0.2164338297268781,0.4609716945454727,20,76.0,1.3,1.75,3.8,0.9673226752018228,1.0,0.1151785714285714,0.7319517135620117,0.2789141569999999,0.055162649,0.75,0.65,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,bmt-ch,0.3333333333333333,0.1971434792054316,0.2178160758848523,3,4.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.9999999999702794,1.0,0.5178571428571429,0.2875642776489258,0.038450998,0.007749294,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,bmt-ch,0.9285714285714286,0.160598725033875,0.2266172857804182,14,51.0,0.7142857142857143,2.0,3.642857142857143,0.9732605090881526,1.0,0.176669484361792,0.8912382125854492,0.302122613,0.0598593779999999,0.8571428571428571,0.7857142857142857,Correlation,Correlation,Correlation
