model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,bmt-ch,0,0.1542312995477661,0.327178752794764,10,26.0,2.6,0.0,2.6,0.952871090530319,1.0,0.1744047619047619,19.485367047,15.005237189,4.469496314,0.8,0.7,Correlation,Correlation,Correlation
plain,no_discretization,bmt-ch,0,0.1356815278071203,0.1911022603180721,18,69.0,3.8333333333333335,0.0,3.8333333333333335,0.938659455358295,1.0,0.0770502645502645,34.863598617,27.111760023,7.739395316,0.6111111111111112,0.5555555555555556,Correlation,Correlation,Correlation
plain,no_discretization,bmt-ch,0,0.134819838407454,0.1904670669328357,10,27.0,2.7,0.0,2.7,0.9076223196779905,1.0,0.1422619047619047,29.945685838,22.222343917,7.712932894,0.3,0.3,Correlation,Correlation,Correlation
plain,no_discretization,bmt-ch,0,0.1310915738520513,0.2218340245286219,11,32.0,2.909090909090909,0.0,2.909090909090909,0.9300472687335865,1.0,0.1280258203335126,24.191036033,17.823459387,6.356688171999999,0.6363636363636364,0.5454545454545454,Correlation,Correlation,Correlation
plain,no_discretization,bmt-ch,0,0.1647952082364472,0.1926492644681569,11,32.0,2.909090909090909,0.0,2.909090909090909,0.947698819501727,1.0,0.1775147928994082,20.040077917,15.210347628,4.819173743,0.4545454545454545,0.4545454545454545,Correlation,Correlation,Correlation
plain,no_discretization,bmt-ch,0,0.1400914392825945,0.3129131986637984,12,26.0,2.1666666666666665,0.0,2.1666666666666665,0.9541673172513252,1.0,0.1532738095238095,30.428782126,22.588678471,7.82982563,0.5833333333333334,0.5833333333333334,Correlation,Correlation,Correlation
plain,no_discretization,bmt-ch,0,0.1324896112430559,0.1499594849612797,16,51.0,3.1875,0.0,3.1875,0.9649614113405875,1.0,0.0967261904761904,48.258744718,36.212023134000006,12.035869048,0.875,0.5,Correlation,Correlation,Correlation
plain,no_discretization,bmt-ch,0,0.1711969740244094,0.152613803887277,8,18.0,2.25,0.0,2.25,0.9819230457377154,1.0,0.2767857142857142,16.440100779,12.410572345,4.018898526,0.75,0.75,Correlation,Correlation,Correlation
plain,no_discretization,bmt-ch,0,0.1551462120577235,0.2430781630666447,12,38.0,3.1666666666666665,0.0,3.1666666666666665,0.936427215665019,1.0,0.1498015873015873,29.345808107,22.327194616,7.00808687,0.8333333333333334,0.6666666666666666,Correlation,Correlation,Correlation
plain,no_discretization,bmt-ch,0,0.1416035749665987,0.1399507589945405,11,26.0,2.3636363636363638,0.0,2.3636363636363638,0.9416326254643804,1.0,0.1468531468531468,24.071260472,18.14276963,5.919532394,0.5454545454545454,0.4545454545454545,Correlation,Correlation,Correlation
