model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,cancer,0.3333333333333333,0.1358596722971529,0.1534804428316014,3,13.0,2.0,2.0,4.333333333333333,0.9997433969331618,1.0,0.5284552845528455,0.8666977882385254,0.112963483,0.067928831,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,cancer,0.4,0.1311546486820873,0.2056387462001147,5,19.0,1.4,2.0,3.8,0.9999713246846904,1.0,0.3785365853658536,1.0461523532867432,0.161387538,0.084031598,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,cancer,0.4,0.1392927712408667,0.1749073417480075,10,38.0,1.9,1.5,3.8,0.9999928845456748,1.0,0.2848780487804878,74.35684037208557,1.241912858,0.436011422,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,cancer,0.0,0.1376145092741071,0.1646986047147262,7,44.0,2.4285714285714284,3.857142857142857,6.285714285714286,0.9999999999976392,1.0,0.384882108183079,15.027652263641356,0.640833626,0.242601502,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,cancer,0.07692307692307693,0.1196183092089668,0.1656251060438975,13,59.0,2.3076923076923075,2.1538461538461537,4.538461538461538,0.993336090039354,1.0,0.2544090056285178,26.583374500274655,1.3038726500000002,0.55523427,0.9230769230769232,0.9230769230769232,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,cancer,0.75,0.1265381159234344,0.1555868211160119,4,13.0,1.75,0.75,3.25,0.9999999999936264,1.0,0.4170731707317073,5.675594806671143,0.138027489,0.030273328,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,cancer,0.0625,0.1435505357740621,0.1896599438435613,16,133.0,2.3125,5.9375,8.3125,0.9992231196737296,1.0,0.2935975609756097,47.632872581481934,2.4449692679999995,1.56547863,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,cancer,0.4444444444444444,0.1285089231641774,0.1355107174383267,9,47.0,2.6666666666666665,2.111111111111111,5.222222222222222,0.9743275885363808,1.0,0.3224932249322493,10.768981218338013,0.650994055,0.271234138,0.8888888888888888,0.7777777777777778,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,cancer,0.16666666666666666,0.1308852117440163,0.1164034021297913,6,13.0,1.8333333333333333,0.16666666666666666,2.1666666666666665,0.999999999997438,1.0,0.4398373983739836,20.03401827812195,0.394732969,0.117463622,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,cancer,0.0,0.1342600022078954,0.1571391937756826,2,3.0,0.5,1.0,1.5,0.9996722465048028,1.0,0.4951456310679611,2.1726114749908447,0.0571835569999999,0.01461542,1.0,1.0,Correlation,Correlation,Correlation
