model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,follic,0.6666666666666666,0.1699050597480342,0.177104142268158,3,5.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.9999999992345626,1.0,0.4524298425735797,7.580963611602783,0.605197835,0.800184573,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,follic,0.0,0.1730882105433411,0.1825189292093414,9,23.0,0.6666666666666666,1.8888888888888888,2.5555555555555554,0.9295683421560272,1.0,0.2890714122746977,265.3393006324768,8.203652786000001,140.964252014,0.7777777777777778,0.7777777777777778,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,follic,1.0,0.1674265552969397,0.2239361761447354,3,7.0,0.0,1.3333333333333333,2.3333333333333335,0.999999999924102,1.0,0.4839151266255989,13.0640389919281,0.577188315,1.174008579,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,follic,0.0,0.179289356792474,0.1593182997680565,5,22.0,0.8,3.6,4.4,0.9059639612668856,1.0,0.4106776180698152,28.261667728424072,1.263949653,11.943481535,0.6,0.6,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,follic,1.0,0.1752273941388133,0.207848254741779,2,4.0,0.0,1.0,2.0,0.9999999996941812,1.0,0.4979466119096509,116.80640530586244,0.064660838,0.003527279,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,follic,1.0,0.1828508118735526,0.2029747297301815,2,4.0,0.0,1.0,2.0,0.9999999999816942,1.0,0.4979466119096509,192.95421195030207,0.057952768,0.0019732639999999,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,follic,0.6666666666666666,0.177473539107821,0.2187497407555598,3,17.0,0.0,5.0,5.666666666666667,0.9999999970326028,1.0,0.3839835728952772,849.9993689060211,2.602688746,29.340330097,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,follic,1.0,0.1785158972310304,0.1834316962101517,2,4.0,0.0,1.0,2.0,0.9999999998572248,1.0,0.4979423868312757,158.69381546974182,0.0766298719999999,0.003460765,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,follic,0.5,0.1667103377861713,0.21311179860475,2,3.0,0.0,1.0,1.5,0.9999999994879628,1.0,0.4989733059548255,7.393578767776489,0.070859016,0.018893177,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,follic,0.6666666666666666,0.1687687397423388,0.1860716130614808,3,9.0,0.3333333333333333,2.0,3.0,0.9999999993255244,1.0,0.4277891854893909,95.4938371181488,0.557346875,0.7536971619999999,1.0,1.0,Correlation,Correlation,Correlation
