model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,follic,0,0.1641809764774066,0.1754393619000492,14,101.0,1.0,6.214285714285714,7.214285714285714,0.9997615712313952,1.0,0.2873276620709885,772.947115959,762.598417583,10.33858179,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,follic,0,0.1796954254107952,0.2223839798249113,25,322.0,1.4,11.48,12.88,0.9999999996270864,1.0,0.2627515400410677,3482.278739375,3447.2766366619994,34.980213266,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,follic,0,0.1641151115777027,0.2282862244181694,15,132.0,0.7333333333333333,8.066666666666666,8.8,0.9999999840854238,1.0,0.3575633127994523,722.845755207,713.6287384970001,9.20434491,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,follic,0,0.1586973127183142,0.1618992363247533,14,167.0,0.6428571428571429,11.285714285714286,11.928571428571429,0.999999991559438,1.0,0.2175124669991199,632.481083197,625.5691207030002,6.895323414,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,follic,0,0.1590087199572366,0.2143165725162776,25,285.0,1.2,10.2,11.4,0.999996219340342,1.0,0.2407392197125256,3776.124752112,3741.312144793,34.797133795,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,follic,0,0.1680874556142255,0.1861366548785939,24,296.0,0.9583333333333334,11.375,12.333333333333334,0.9998075189430544,1.0,0.238021902806297,5983.565663442,5929.966176130001,53.58026086899999,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,follic,0,0.1686172667770185,0.1889226572432518,45,710.0,0.6222222222222222,15.155555555555555,15.777777777777779,0.999999878762604,1.0,0.2548026465890942,7440.562339809,7373.022185146,67.510482874,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,follic,0,0.1638961261929961,0.1979700358898696,30,307.0,1.1666666666666667,9.066666666666666,10.233333333333333,0.9945957947207712,1.0,0.3109739368998628,5534.783510209,5481.566783422,53.19133285700001,0.9666666666666668,0.9666666666666668,Correlation,Correlation,Correlation
complex,no_discretization,follic,0,0.1641163091871948,0.2083382862714909,11,104.0,1.2727272727272727,8.181818181818182,9.454545454545455,0.9742824308957914,1.0,0.2643270487212992,718.313892455,709.5976236800001,8.705786506,0.8181818181818182,0.8181818181818182,Correlation,Correlation,Correlation
complex,no_discretization,follic,0,0.1643361234239105,0.1816876303722531,25,309.0,0.68,11.68,12.36,0.9982418458813976,1.0,0.2371252566735113,1136.502712145,1123.6870065330002,12.790796244,1.0,1.0,Correlation,Correlation,Correlation
