model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,follic,0.10526315789473684,0.166803343489167,0.1959893030359022,19,163.0,1.105263157894737,7.368421052631579,8.578947368421053,0.997869189438266,1.0,0.2201448178968983,34.1507625579834,7.469271903,20.688685316,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,follic,0.0,0.1730882105433411,0.1825189292093414,9,23.0,0.6666666666666666,1.8888888888888888,2.5555555555555554,0.9295683421560272,1.0,0.2890714122746977,264.2214684486389,7.973983739000001,141.330140861,0.7777777777777778,0.7777777777777778,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,follic,0.0,0.1793611550316272,0.2359264036853746,3,15.0,1.0,4.0,5.0,0.9999997191528566,1.0,0.3613963039014374,15.45325756072998,1.3316728290000002,3.434714649,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,follic,0.0,0.179289356792474,0.1593182997680565,5,22.0,0.8,3.6,4.4,0.9059639612668856,1.0,0.4106776180698152,27.22273540496826,1.22652689,11.401662814,0.6,0.6,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,follic,0.14285714285714285,0.1791357474006073,0.2098324384779485,7,26.0,1.1428571428571428,2.4285714285714284,3.7142857142857144,0.993198697166769,1.0,0.2396597242593136,188.60954213142395,9.975233715,65.90822949899999,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,follic,0.0,0.1717383305840934,0.209704947888596,6,34.0,0.6666666666666666,5.0,5.666666666666667,0.9614790622466224,1.0,0.2559890485968514,271.4299068450928,10.441740143,71.938527686,0.8333333333333334,0.8333333333333334,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,follic,0.0,0.1774369069700017,0.2235685331833258,7,32.0,0.5714285714285714,4.0,4.571428571428571,0.9865520004388793,1.0,0.2420064535054268,1188.1098845005035,23.554660058,283.204905146,0.8571428571428571,0.8571428571428571,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,follic,0.0,0.1690950566304927,0.2125434949797904,15,119.0,1.2666666666666666,6.666666666666667,7.933333333333334,0.9873179357747096,1.0,0.2203017832647462,384.8342618942261,31.149840029,195.06444457600003,0.9333333333333332,0.9333333333333332,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,follic,0.0,0.1669305810134686,0.2131998342832305,2,2.0,0.0,1.0,1.0,0.9999999993426169,1.0,0.5,7.880987167358398,0.376216845,0.781725297,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,follic,0.2857142857142857,0.1653220213828194,0.1883011668237571,7,37.0,1.0,4.0,5.285714285714286,0.9970420694774256,1.0,0.232912877676738,125.7526671886444,7.354675870000001,27.899347557,1.0,1.0,Correlation,Correlation,Correlation
