model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,follic,0,0.1769459816941547,0.168683134309182,3,4.0,1.3333333333333333,0,1.3333333333333333,0.9999999984675856,1.0,0.3709787816563997,2.045942095,1.93632843,0.104713765,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,follic,0,0.1861453983120176,0.1959539302088093,4,4.0,1.0,0,1.0,0.9999974566895762,1.0,0.6694045174537987,4.324540709,3.686103893,0.6346032460000001,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,follic,0,0.1770411894053425,0.2298192804751377,8,8.0,1.0,0,1.0,0.9999999529541512,1.0,0.6463039014373717,12.565305,9.450264197,3.111175349,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,follic,0,0.1837366587779651,0.1579216266906887,3,3.0,1.0,0,1.0,0.9999309375838172,1.0,0.6221765913757701,2.28201354,2.051277479,0.227917679,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,follic,0,0.182732570144043,0.2141494886956975,4,4.0,1.0,0,1.0,0.9999994338059096,1.0,0.6709445585215605,4.38758184,3.683042043,0.7006217590000001,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,follic,0,0.1939603746763853,0.2055817648375348,2,2.0,1.0,0,1.0,0.9987728203034208,1.0,0.5,1.561699436,1.380645277,0.177863462,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,follic,0,0.1872219374014574,0.2395766246136146,2,2.0,1.0,0,1.0,0.9939553693062546,1.0,0.5,0.965522916,0.877914808,0.084358031,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,follic,0,0.1807358712504978,0.1864519350142049,5,5.0,1.0,0,1.0,0.995909204300441,1.0,0.5102880658436214,5.222964426,4.534859152,0.6803186130000001,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,follic,0,0.1838821436395645,0.2230549091573988,5,5.0,1.0,0,1.0,0.999907068975152,1.0,0.71129363449692,4.872201332,4.215973211,0.652656294,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,follic,0,0.1848161918076841,0.2001122671204801,3,3.0,1.0,0,1.0,0.9996850578074796,1.0,0.6119096509240246,1.575516223,1.451870596,0.120765904,1.0,1.0,Correlation,Correlation,Correlation
