model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,hd,0,0.1982064443452276,0.2274564558959582,3,3.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.5664095972579263,0.0341632366180419,0.010749217,0.003349019,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,hd,0,0.1985376928831212,0.1653578485343903,2,2.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0323705673217773,0.0090867409999999,0.003872394,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,hd,0,0.2043162147487326,0.2435536632292752,2,2.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0296685695648193,0.008540865,0.0038775479999999,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,hd,0,0.2034399224173274,0.2284115326373536,4,6.0,0.0,1.5,1.5,0.999999999996722,1.0,0.4223363286264441,0.1441297531127929,0.061152653,0.0535788309999999,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,hd,0,0.1989064687320212,0.1886261555306689,3,3.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.5699614890885751,0.0279133319854736,0.008559857,0.003228436,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,hd,0,0.2097786425796713,0.2126693432964802,2,2.0,1.0,0.0,1.0,1.0,1.0,0.5,0.029383897781372,0.007760729,0.003629326,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,hd,0,0.1973131731870758,0.1950731656999393,3,3.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.5441302485004285,0.0286788940429687,0.008416825,0.003266327,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,hd,0,0.2013526194367932,0.1918764622277357,3,5.0,0.0,1.6666666666666667,1.6666666666666667,1.0,1.0,0.3598971722365038,0.0535225868225097,0.016940774,0.009148553,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,hd,0,0.205974974541085,0.2298391959116097,3,3.0,0.0,1.0,1.0,1.0,1.0,0.3697047496790757,0.0350635051727294,0.011872994,0.005451732,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,hd,0,0.1995612691206324,0.2430073217488169,3,3.0,0.0,1.0,1.0,1.0,1.0,0.6148908857509627,0.0460739135742187,0.017483888,0.0088482359999999,1.0,1.0,Correlation,Correlation,Correlation
