model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,hd,0,0.1982623767701637,0.2239183598764593,2,2.0,0.5,0.5,1.0,1.0,1.0,0.5591259640102828,1119.637091436,1111.805671062,7.822769364,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,hd,0,0.1989209823702954,0.1659912697759147,2,3.0,0.5,1.0,1.5,1.0,1.0,0.4987146529562982,1146.853540682,1138.827200628,8.017448050999999,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,hd,0,0.2049549820581768,0.243603177148418,2,3.0,0.5,1.0,1.5,1.0,1.0,0.4980744544287548,1151.753764928,1143.811456166,7.929858108999999,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,hd,0,0.1947505296521976,0.2191301306826101,5,9.0,0.2,1.6,1.8,1.0,1.0,0.3573812580231065,1203.323015161,1193.687388852,9.628330901,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,hd,0,0.1994422886374145,0.1968037414112877,2,2.0,0.5,0.5,1.0,1.0,1.0,0.5603337612323491,965.641596374,958.5905906,7.03802445,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,hd,0,0.1956705107275419,0.1988523571152762,3,3.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.3397600685518423,1120.687636163,1112.77025763,7.908437991,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,hd,0,0.1979205050356383,0.2053622308638636,2,2.0,0.5,0.5,1.0,1.0,1.0,0.6079691516709511,1146.898889967,1139.156575505,7.734149573,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,hd,0,0.2023767691532551,0.1917316767785211,2,4.0,0.0,2.0,2.0,1.0,1.0,0.5096401028277635,1152.733877705,1144.646493611,8.078110569,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,hd,0,0.205974974541085,0.2298391959116097,3,3.0,0.0,1.0,1.0,1.0,1.0,0.3697047496790757,1226.779141064,1217.928447689,8.835911704,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,hd,0,0.1998702619020511,0.2623454053376631,4,4.0,0.25,0.75,1.0,1.0,1.0,0.3106546854942233,1196.368373029,1187.147369204,9.203660916,1.0,1.0,Correlation,Correlation,Correlation
