model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,hd,0,0.1982064443452276,0.2274564558959582,3,3.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.5664095972579263,0.0311839580535888,0.0089985999999999,0.003361963,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,hd,0,0.1985376928831212,0.1653578485343903,2,2.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0332484245300293,0.009098432,0.003873174,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,hd,0,0.2043162147487326,0.2435536632292752,2,2.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0329203605651855,0.009828589,0.003879032,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,hd,0,0.2034399224173274,0.2284115326373536,4,6.0,0.0,1.5,1.5,0.999999999996722,1.0,0.4223363286264441,0.1428983211517334,0.059999943,0.053693424,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,hd,0,0.1989064687320212,0.1886261555306689,3,3.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.5699614890885751,0.0291242599487304,0.009293084,0.0032259209999999,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,hd,0,0.2097786425796713,0.2126693432964802,2,2.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0304276943206787,0.008461999,0.003639777,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,hd,0,0.1973131731870758,0.1950731656999393,3,3.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.5441302485004285,0.030839204788208,0.0087472809999999,0.00330462,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,hd,0,0.2013526194367932,0.1918764622277357,3,5.0,0.0,1.6666666666666667,1.6666666666666667,1.0,1.0,0.3598971722365038,0.0626499652862548,0.0235604479999999,0.010120266,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,hd,0,0.205974974541085,0.2298391959116097,3,3.0,0.0,1.0,1.0,1.0,1.0,0.3697047496790757,0.0421817302703857,0.0142727509999999,0.005483213,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,hd,0,0.1995612691206324,0.2430073217488169,3,3.0,0.0,1.0,1.0,1.0,1.0,0.6148908857509627,0.0457196235656738,0.017921404,0.008881949,1.0,1.0,Correlation,Correlation,Correlation
