model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,hd,0,0.2074149179604894,0.2332198116881307,8,8.0,1.0,0.0,1.0,1.0,1.0,0.7583547557840618,5.378716146,4.779908508,0.587764678,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,hd,0,0.1989273345118176,0.1620797977068328,3,3.0,1.0,0.0,1.0,1.0,1.0,0.5934018851756641,2.321106436,2.144046431,0.169045126,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,hd,0,0.2072603036466125,0.2482185688388106,3,3.0,1.0,0.0,1.0,1.0,1.0,0.5605477107402653,3.712167758,3.087660564,0.604141783,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,hd,0,0.2082573422907181,0.234929272824608,5,5.0,1.0,0.0,1.0,1.0,1.0,0.7011553273427471,2.192719965,2.058129193,0.124132672,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,hd,0,0.1995156740329214,0.1811243750360476,3,3.0,1.0,0.0,1.0,1.0,1.0,0.5977749251176723,1.875138738,1.7336863559999998,0.129086076,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,hd,0,0.1962448561604589,0.2017581311151371,3,3.0,1.0,0.0,1.0,1.0,1.0,0.5934018851756641,2.268931007,2.09355843,0.168169837,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,hd,0,0.2071894254241366,0.212352511740156,6,9.0,1.5,0.0,1.5,0.9834357802251992,1.0,0.532133676092545,4.329976391,3.998576808,0.3232230479999999,0.8333333333333334,0.8333333333333334,Correlation,Correlation,Correlation
plain,no_discretization,hd,0,0.1996324191693858,0.1844587086944295,7,7.0,1.0,0.0,1.0,1.0,1.0,0.720345207491737,2.974789493,2.7814861360000003,0.180285394,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,hd,0,0.210068427536251,0.2283665249758852,10,10.0,1.0,0.0,1.0,1.0,1.0,0.7658536585365854,7.32989302,6.751820083000001,0.562507248,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,hd,0,0.2048484704535189,0.2552748397674184,2,2.0,1.0,0.0,1.0,0.9999999994338016,1.0,0.4993581514762516,5.776081838,4.089042593,1.676668057,1.0,1.0,Correlation,Correlation,Correlation
