model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,lung,0.0,0.1436247754199733,0.1411735078343793,2,2.0,1.0,0.0,1.0,1.0,1.0,0.5,0.1123783588409423,0.040349192,0.040032922,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,lung,0.3333333333333333,0.1373198594529693,0.1689138011613678,3,3.0,0.6666666666666666,0.0,1.0,1.0,1.0,0.4827586206896552,0.2970421314239502,0.107940223,0.077911232,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,lung,0.3333333333333333,0.1569836588717055,0.1834663719984203,3,5.0,0.0,1.3333333333333333,1.6666666666666667,0.9999330058410512,1.0,0.4316469321851453,0.0926129817962646,0.038193469,0.025308042,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,lung,0.0,0.1512743427145294,0.1400489556708593,3,4.0,1.3333333333333333,0.0,1.3333333333333333,0.9999994114762178,1.0,0.3588087549336203,0.0399677753448486,0.0146764599999999,0.008259424,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,lung,0.0,0.1486704766626997,0.1541810224632547,4,7.0,1.25,0.5,1.75,0.999999999999968,1.0,0.360064585575888,0.1143255233764648,0.049077841,0.034578892,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,lung,0.3333333333333333,0.1406403065121126,0.1166468628763747,9,23.0,1.4444444444444444,0.7777777777777778,2.5555555555555554,0.9998391860079712,1.0,0.2026073436191843,1.1526329517364502,0.4285513949999999,0.5379803970000001,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,lung,0.0,0.1426229490718524,0.1377610414352553,2,2.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0962216854095459,0.036755535,0.0217041649999999,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,lung,0.3333333333333333,0.1497974857582639,0.1750433599236181,6,10.0,1.0,0.3333333333333333,1.6666666666666667,0.9999998533821188,1.0,0.3566810344827586,0.6286923885345459,0.233218356,0.331037672,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,lung,0.0,0.152948489056271,0.1647257546528772,4,7.0,1.25,0.5,1.75,0.9998712521538362,1.0,0.3533369214208827,0.1783218383789062,0.078065609,0.064810933,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,lung,0.3333333333333333,0.1494149177645655,0.1496437131203079,3,3.0,0.3333333333333333,0.3333333333333333,1.0,0.9999964531298888,1.0,0.5385719411553642,0.1921601295471191,0.076946823,0.048030096,1.0,1.0,Correlation,Correlation,Correlation
