model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,lung,0,0.1471724143931531,0.1434676623384917,6,11.0,0.5,1.3333333333333333,1.8333333333333333,0.9999993104793878,1.0,0.3597057768209544,1.089458626,0.8074367610000001,0.257472289,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,lung,0,0.1373098753928108,0.1719464011207632,7,12.0,0.5714285714285714,1.1428571428571428,1.7142857142857142,0.9999999141874284,1.0,0.2843288177339901,1.183720735,0.893937253,0.272988738,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,lung,0,0.1467997197976064,0.1615420052364951,4,7.0,0.0,1.75,1.75,0.9999997785640542,1.0,0.3003229278794402,0.691185832,0.54466492,0.1406758659999999,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,lung,0,0.1533916799091045,0.1345140315330361,4,5.0,0.25,1.0,1.25,0.9999995586071634,1.0,0.4308396124865447,0.725706293,0.555566001,0.164517811,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,lung,0,0.1465845402668527,0.1497236013395421,4,7.0,0.25,1.5,1.75,0.9999974825234974,1.0,0.2968245425188374,0.734314391,0.566677217,0.162051989,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,lung,0,0.1474004008210455,0.1222363976750952,8,18.0,0.375,1.875,2.25,0.9999566103067538,1.0,0.2529601722282024,1.503453613,1.129120353,0.362403248,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,lung,0,0.1441837720150107,0.1418912841189984,4,7.0,0.5,1.25,1.75,0.9999998073805384,1.0,0.3923573735199138,0.748773168,0.571397221,0.167388107,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,lung,0,0.1430911467283755,0.1764035783391862,10,17.0,0.4,1.3,1.7,0.9999787897391365,1.0,0.2789870689655172,2.374887562,1.7367674159999995,0.611937865,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,lung,0,0.1493354093036616,0.1582173749931315,5,10.0,0.2,1.8,2.0,0.9991631373330768,1.0,0.2437029063509149,0.921986845,0.718989592,0.193351533,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,lung,0,0.1447504450321076,0.1479020783351908,7,11.0,0.5714285714285714,1.0,1.5714285714285714,0.9999983581967226,1.0,0.3853606027987082,1.189974462,0.88597128,0.297537077,1.0,1.0,Correlation,Correlation,Correlation
