model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,lung,0.0,0.1436247754199733,0.1411735078343793,2,2.0,1.0,0.0,1.0,1.0,1.0,0.5,0.1309916973114013,0.045486759,0.040634845,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,lung,0.0,0.1376611522560319,0.1689143422808053,3,3.0,1.0,0.0,1.0,1.0,1.0,0.5229885057471265,0.3241333961486816,0.1155952899999999,0.07508013,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,lung,0.625,0.1539997056460496,0.1806806972854993,8,19.0,0.0,1.75,2.375,0.9969363406165088,1.0,0.2536329386437029,0.1828377246856689,0.10078484,0.055323636,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,lung,0.0,0.1512743427145294,0.1400489556708593,3,4.0,1.3333333333333333,0.0,1.3333333333333333,0.9999994114762178,1.0,0.3588087549336203,0.0393714904785156,0.013892978,0.0083403549999999,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,lung,0.5,0.1496262842560559,0.1543351395804536,6,13.0,0.6666666666666666,1.0,2.1666666666666665,0.9999345624059764,1.0,0.2956584140653032,0.1563072204589843,0.0791203289999999,0.0508642469999999,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,lung,0.38461538461538464,0.1437017992748826,0.1169786831651455,13,40.0,1.6153846153846154,1.0769230769230769,3.076923076923077,0.99765809570191,1.0,0.1601391073942203,1.3717803955078125,0.5927864880000001,0.6798537580000001,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,lung,0.3333333333333333,0.141565847800362,0.1398741841027846,3,5.0,1.0,0.3333333333333333,1.6666666666666667,1.0,1.0,0.3857194115536419,0.1204988956451416,0.055493745,0.0323091769999999,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,lung,0.4,0.1456848552414019,0.1755914276916931,5,9.0,0.8,0.6,1.8,0.9999665401874032,1.0,0.3842672413793103,0.6386775970458984,0.258581288,0.309595684,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,lung,0.5555555555555556,0.1459821546234951,0.1703695498665403,9,20.0,1.1111111111111112,0.5555555555555556,2.2222222222222223,0.9999410138382904,1.0,0.2333452936251644,0.3324131965637207,0.143003921,0.15558444,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,lung,0.5,0.1487027087381489,0.1549926315104287,2,2.0,0.5,0.0,1.0,1.0,1.0,0.6334768568353067,0.1715226173400879,0.069456172,0.037007956,1.0,1.0,Correlation,Correlation,Correlation
