model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,lung,0,0.1410069486898861,0.1384212961462519,5,5.0,1,0,1.0,1.0,1.0,0.4036598493003229,0.293710849,0.184363278,0.0911578939999999,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,lung,0,0.1367058892531658,0.1682104805114369,5,5.0,1,0,1.0,1.0,1.0,0.4232758620689655,0.240164027,0.155880671,0.074707453,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,lung,0,0.1442603092695647,0.1676381820948984,4,4.0,1,0,1.0,0.9999999999999996,1.0,0.4903121636167922,0.167635689,0.116978412,0.046630244,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,lung,0,0.1406705497648113,0.1274903628801264,5,5.0,1,0,1.0,1.0,1.0,0.4236813778256189,0.269309607,0.173938761,0.0914134,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,lung,0,0.1393716712046143,0.1381624588037899,5,5.0,1,0,1.0,1.0,1.0,0.4279870828848224,0.233836786,0.152251838,0.077416418,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,lung,0,0.1446181473623083,0.1193667816786934,4,4.0,1,0,1.0,0.9999999999999994,1.0,0.4655543595263725,0.19113705,0.129143865,0.0553334959999999,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,lung,0,0.1477603048082748,0.1408486330871292,3,3.0,1,0,1.0,1.0,1.0,0.5059203444564048,0.129301048,0.085385722,0.039035129,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,lung,0,0.1432577570529219,0.1755949191351055,3,3.0,1,0,1.0,1.0,1.0,0.5032327586206896,0.199916927,0.136394016,0.05334191,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,lung,0,0.1473431505667737,0.1581266799950401,3,3.0,1,0,1.0,0.9999999999999996,1.0,0.503767491926803,0.115773221,0.080333222,0.030834404,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,lung,0,0.1459492227307565,0.1491319316113966,3,3.0,1,0,1.0,1.0,1.0,0.501973448152135,0.144458545,0.098051426,0.042808781,1.0,1.0,Correlation,Correlation,Correlation
