model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,mgus,0,0.1332630554448768,0.2426000326780247,19,114.0,0.8421052631578947,5.157894736842105,6.0,0.9966562694716908,1.0,0.2359932088285229,58.122253322,55.376773155,2.730969192,0.9473684210526316,0.9473684210526316,Correlation,Correlation,Correlation
complex,no_discretization,mgus,0,0.1233347629998211,0.1593881610757807,16,91.0,1.0625,4.625,5.6875,0.9895233026908468,1.0,0.2626728110599078,59.164555436,56.194675405000005,2.953572883,0.9375,0.9375,Correlation,Correlation,Correlation
complex,no_discretization,mgus,0,0.1296079544532202,0.1732487958810444,14,80.0,1.4285714285714286,4.285714285714286,5.714285714285714,0.9944505150714188,1.0,0.2758393680052666,58.793999558,55.965224981000006,2.808308303,0.9285714285714286,0.9285714285714286,Correlation,Correlation,Correlation
complex,no_discretization,mgus,0,0.127468522766178,0.158970627920442,11,47.0,1.0909090909090908,3.1818181818181817,4.2727272727272725,0.9999999707062366,1.0,0.28780896522832,50.229921247,47.754899192,2.4615384370000006,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,mgus,0,0.1320300515098818,0.1827882011899858,19,120.0,0.8421052631578947,5.473684210526316,6.315789473684211,0.9989236971003502,1.0,0.2459374242056755,62.964759241,59.955954285,2.9926775910000005,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,mgus,0,0.1212431070120254,0.1787720063869146,18,112.0,1.5555555555555556,4.666666666666667,6.222222222222222,0.9356748012502956,1.0,0.1868919610855094,52.483849816,49.831051175,2.636616765,0.7777777777777778,0.7777777777777778,Correlation,Correlation,Correlation
complex,no_discretization,mgus,0,0.121114289953877,0.2053822759555128,13,62.0,0.6923076923076923,4.076923076923077,4.769230769230769,0.9874453600552002,1.0,0.2651542006380716,45.874795771,43.786221562,2.073553571,0.9230769230769232,0.9230769230769232,Correlation,Correlation,Correlation
complex,no_discretization,mgus,0,0.1340450504878665,0.2100618987997393,9,36.0,0.5555555555555556,3.4444444444444446,4.0,0.993712166412388,1.0,0.3070987654320987,34.076484466,32.375035422,1.686133426,0.8888888888888888,0.8888888888888888,Correlation,Correlation,Correlation
complex,no_discretization,mgus,0,0.1609645299096347,0.1430962678334124,11,79.0,0.8181818181818182,6.363636363636363,7.181818181818182,0.9905111604272012,1.0,0.3502304147465438,77.985082815,74.09247614499999,3.878026854,0.9090909090909092,0.9090909090909092,Correlation,Correlation,Correlation
complex,no_discretization,mgus,0,0.1244882859766918,0.1405520775105881,6,28.0,1.0,3.6666666666666665,4.666666666666667,0.9999999999640428,1.0,0.3195084485407066,34.271842108,32.924981629,1.334058891,1.0,1.0,Correlation,Correlation,Correlation
