model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,mgus,1.0,0.1379570299277448,0.2489352444205463,6,29.0,1.5,2.3333333333333335,4.833333333333333,0.9999999999999304,1.0,0.4116743471582182,9.165269136428831,0.2948187459999999,0.115384112,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,mgus,0.8,0.1396821350049922,0.1817166926835151,5,15.0,1.2,1.0,3.0,0.9999999999998788,1.0,0.5059907834101383,4.587482213973999,0.109191679,0.020097081,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,mgus,0.5,0.1309490443555462,0.1571865014839944,4,9.0,1.0,0.75,2.25,0.99999999100715,1.0,0.4746543778801844,4.462965726852417,0.142884579,0.057070938,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,mgus,0.6666666666666666,0.1347835091511444,0.1746307587837576,6,22.0,1.5,1.5,3.6666666666666665,0.9999999999966982,1.0,0.3840245775729647,1.1954028606414795,0.138823899,0.042947886,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,mgus,0.9090909090909091,0.1314101360415232,0.1827533990561,11,33.0,0.18181818181818182,1.9090909090909092,3.0,0.9999999999984076,1.0,0.3648931713447843,11.185390710830688,0.358780706,0.3442627140000001,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,mgus,0.75,0.1410879130835847,0.1715020814731952,4,10.0,0.0,1.75,2.5,0.999999999999079,1.0,0.4665898617511521,17.569042444229126,0.178009432,0.04134644,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,mgus,0.5555555555555556,0.1409143969783534,0.2132124251199776,9,41.0,0.8888888888888888,3.111111111111111,4.555555555555555,0.9352737426205872,1.0,0.3799283154121864,2.304802656173706,0.300792645,0.1126834599999999,0.8888888888888888,0.8888888888888888,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,mgus,0.5,0.1449086528926253,0.2235881459920667,4,11.0,0.5,1.75,2.75,0.9999999999968524,1.0,0.5763888888888888,0.4665496349334717,0.068593806,0.025530549,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,mgus,1.0,0.1556221858568933,0.1182934149503828,6,23.0,1.5,1.3333333333333333,3.8333333333333335,0.999999999989935,1.0,0.456989247311828,1.5552053451538086,0.105563111,0.02684489,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,mgus,0.8333333333333334,0.134511071673514,0.1487599311645576,6,18.0,0.6666666666666666,1.5,3.0,0.9999999999951268,1.0,0.401689708141321,0.2869904041290283,0.060099669,0.012248715,1.0,1.0,Correlation,Correlation,Correlation
