model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,pbc,0,0.1447423398934978,0.191339958888388,6,13.0,0.8333333333333334,1.3333333333333333,2.1666666666666665,0.9999999999705218,1.0,0.4552304964539007,3288.23247313,3249.616987618,38.599661963,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,pbc,0,0.1405937338363546,0.1349773578322983,5,7.0,0.4,1.0,1.4,0.9999999999999992,1.0,0.3920212765957446,3370.474499754,3335.962651559,34.495441998,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,pbc,0,0.1354428002859621,0.1985755864351277,10,34.0,1.4,2.0,3.4,0.991872860347549,1.0,0.3518617021276596,5310.122138736,5253.078314130999,57.027226172000006,0.9,0.9,Correlation,Correlation,Correlation
complex,no_discretization,pbc,0,0.1338039356317222,0.2069010637450296,8,26.0,0.625,2.625,3.25,0.9999981959669574,1.0,0.3292440318302387,4636.263540557,4586.414063288,49.835251403,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,pbc,0,0.1475084012689258,0.1293393041191518,7,12.0,0.7142857142857143,1.0,1.7142857142857142,0.9999999999290766,1.0,0.4623860182370821,4796.433545632,4746.067144451,50.347117848,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,pbc,0,0.1377767058219731,0.1095463670170013,12,33.0,0.5,2.25,2.75,0.9999994051928996,1.0,0.3331117021276595,6102.604847649,6039.886751784999,62.702056351,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,pbc,0,0.1439511408568931,0.1530234179725421,6,18.0,0.5,2.5,3.0,0.9999995556693224,1.0,0.3617021276595745,7289.640647914,7216.282187156,73.344694236,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,pbc,0,0.1431194204800821,0.1454792478926779,9,23.0,0.7777777777777778,1.7777777777777777,2.5555555555555554,0.999997227347142,1.0,0.3959810874704491,9841.130877466,9752.441427117,88.66201155399999,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,pbc,0,0.137847360874962,0.1157460767153014,7,18.0,1.1428571428571428,1.4285714285714286,2.5714285714285716,0.9999598801525484,1.0,0.3567629179331307,5410.440749869,5356.654682546,53.76886282299999,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,pbc,0,0.1381624810825174,0.1166495547486241,8,36.0,1.25,3.25,4.5,0.99999999906532,1.0,0.3355437665782493,6694.180282362,6632.680367075,61.484602013,1.0,1.0,Correlation,Correlation,Correlation
