model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,pbc,0.0,0.1512810046697364,0.2529057741691289,2,2.0,1.0,0,1.0,1.0,1.0,0.5,0.1398446559906005,0.060015383,0.022446002,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,pbc,0.0,0.1465478952386231,0.1449712618715854,2,2.0,1.0,0,1.0,1.0,1.0,0.5,0.1078615188598632,0.051265151,0.031522381,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,pbc,0.0,0.143024736888886,0.1828161259938256,2,2.0,1.0,0,1.0,1.0,1.0,0.5,0.4121310710906982,0.087457666,0.067473111,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,pbc,0.0,0.1416531739850396,0.1835159262811727,2,2.0,1.0,0,1.0,1.0,1.0,0.5,0.2552449703216553,0.081191555,0.064891714,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,pbc,0.0,0.1389839798940128,0.1047796503119588,2,2.0,1.0,0,1.0,1.0,1.0,0.5,0.1188364028930664,0.047731032,0.019305897,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,pbc,0.0,0.1446480225146749,0.1295208080999632,2,2.0,1.0,0,1.0,1.0,1.0,0.5,0.4613118171691894,0.136761276,0.153295675,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,pbc,1.8333333333333333,0.146495579513798,0.1603373481746521,6,13.0,0.3333333333333333,0,2.1666666666666665,0.9989613850713528,1.0,0.1999113475177305,0.964491367340088,0.324366609,0.569486672,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,pbc,0.0,0.1472635114090981,0.1540564800508933,2,2.0,1.0,0,1.0,1.0,1.0,0.5,0.3492684364318847,0.110149694,0.082280781,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,pbc,1.0,0.1456172883936409,0.1373337128383913,2,2.0,0.0,0,1.0,1.0,1.0,0.5,0.3332529067993164,0.101304327,0.103861478,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,pbc,0.0,0.1404891507057455,0.1172753267707302,2,2.0,1.0,0,1.0,1.0,1.0,0.5,0.7536003589630127,0.091460552,0.061624911,1.0,1.0,Correlation,Correlation,Correlation
