model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,pbc,0,0.1382466728832603,0.2344907518311447,5,9.0,1.8,0.0,1.8,0.9999999892818404,1.0,0.3585106382978723,66.987280089,46.980105651,20.000679479,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,pbc,0,0.159862915427101,0.1315724343456144,13,23.0,1.7692307692307692,0.0,1.7692307692307692,0.9999998918736228,1.0,0.5321194762684125,902.91254589,640.976474158,261.927880272,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,pbc,0,0.1304903596317579,0.1784301838160202,8,19.0,2.375,0.0,2.375,0.952003200117898,1.0,0.2839095744680851,481.047378719,339.379833371,141.661546849,0.875,0.875,Correlation,Correlation,Correlation
plain,no_discretization,pbc,0,0.1383058081634754,0.2046231693467366,8,15.0,1.875,0.0,1.875,0.999999745082691,1.0,0.3769893899204244,446.797427738,323.296804591,123.492374756,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,pbc,0,0.1594328376272083,0.1274137442706613,10,16.0,1.6,0.0,1.6,0.9999999999992898,1.0,0.5521276595744681,795.10089299,555.933300173,239.160825213,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,pbc,0,0.1412395169211561,0.1075391224427226,6,7.0,1.1666666666666667,0.0,1.1666666666666667,0.9999999999876308,1.0,0.3506205673758866,272.799138539,187.298912044,85.49347593,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,pbc,0,0.1451221982851445,0.1568657881545246,5,10.0,2.0,0.0,2.0,0.999998754384004,1.0,0.3292553191489362,75.642655562,53.860442247,21.776724128,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,pbc,0,0.1526652044655524,0.1671985065122673,11,19.0,1.7272727272727273,0.0,1.7272727272727273,0.9999998664782684,1.0,0.4492263056092843,723.640336227,509.546155913,214.073380808,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,pbc,0,0.1446185164351668,0.1382242343845715,10,18.0,1.8,0.0,1.8,0.9999999993659808,1.0,0.3888297872340426,629.903120724,440.33985243000006,189.556993181,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,pbc,0,0.1460712617992506,0.1209009423195248,4,8.0,2.0,0.0,2.0,0.999999920744365,1.0,0.4396551724137931,74.072594035,55.270407679,18.796227246,1.0,1.0,Correlation,Correlation,Correlation
