model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,std,0,0.1949785713823362,0.2568362429218055,16,73.0,0.6875,3.875,4.5625,0.9619586844040126,1.0,0.1150190114068441,655.88210031,450.817298225,205.03060499,0.5,0.25,Correlation,Correlation,Correlation
complex,no_discretization,std,0,0.1986400790138102,0.2225170288530172,17,67.0,0.5294117647058824,3.411764705882353,3.9411764705882355,0.9504247166062776,1.0,0.0989338701259971,642.317147709,446.95568222,195.32812517,0.5882352941176471,0.3529411764705882,Correlation,Correlation,Correlation
complex,no_discretization,std,0,0.1894694105279683,0.209261489228252,34,187.0,0.6764705882352942,4.823529411764706,5.5,0.9737486186822468,1.0,0.1177216133601729,1863.99118032,1326.7798099120002,537.172250741,0.7647058823529411,0.5294117647058824,Correlation,Correlation,Correlation
complex,no_discretization,std,0,0.1858018692401173,0.2557628651205857,33,180.0,0.6060606060606061,4.848484848484849,5.454545454545454,0.9444094353764,1.0,0.0902186421173763,1572.61336743,1125.0838508630002,447.492790373,0.7272727272727273,0.4242424242424242,Correlation,Correlation,Correlation
complex,no_discretization,std,0,0.2013739885208663,0.1789350377399795,15,53.0,0.3333333333333333,3.2,3.533333333333333,0.953243626509764,1.0,0.1719831223628692,491.916400985,332.72239254100003,159.164069201,0.8666666666666667,0.6666666666666666,Correlation,Correlation,Correlation
complex,no_discretization,std,0,0.1954425044027502,0.2995544660571725,13,57.0,0.5384615384615384,3.8461538461538463,4.384615384615385,0.9729048161697385,1.0,0.1806571122160475,517.661920331,364.80568528,152.82585154999998,0.7692307692307693,0.6153846153846154,Correlation,Correlation,Correlation
complex,no_discretization,std,0,0.1938702966051533,0.1911637227710233,26,132.0,0.8076923076923077,4.269230769230769,5.076923076923077,0.971646613165751,1.0,0.1072438334795749,1091.65650339,745.1399215679999,346.479563634,0.8076923076923077,0.6538461538461539,Correlation,Correlation,Correlation
complex,no_discretization,std,0,0.194756088991814,0.1852309292899625,20,86.0,0.35,3.95,4.3,0.9526811456357492,1.0,0.0815589353612167,639.161697017,411.0152493659999,228.063937234,0.65,0.4,Correlation,Correlation,Correlation
complex,no_discretization,std,0,0.1920339454845374,0.1832101066056281,27,134.0,0.5925925925925926,4.37037037037037,4.962962962962963,0.9659200535343871,1.0,0.0811622776134816,1148.404411026,796.9945207490001,351.37484064099993,0.7037037037037037,0.2222222222222222,Correlation,Correlation,Correlation
complex,no_discretization,std,0,0.2025480745188921,0.2070040740327333,20,93.0,0.55,4.1,4.65,0.920776986969201,1.0,0.1036708860759493,843.115490549,590.380466899,252.702914049,0.55,0.35,Correlation,Correlation,Correlation
