model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,std,0.2631578947368421,0.1988662219551088,0.2463669462487067,19,75.0,2.210526315789474,1.4736842105263157,3.9473684210526314,0.9717783498792932,1.0,0.2248015475952237,6.218520641326904,2.147372318,3.1395916630000005,0.8947368421052632,0.7894736842105263,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,std,0.2857142857142857,0.201452290591294,0.2097968376239827,7,20.0,1.8571428571428572,0.7142857142857143,2.857142857142857,0.9993010437798784,1.0,0.2313959804454101,4.60537052154541,1.428182141,2.595694142,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,std,0.0,0.2035297728754863,0.1989617177778986,9,29.0,1.1111111111111112,2.111111111111111,3.2222222222222223,0.9766661067214886,1.0,0.1894099422616532,24.56467986106873,3.692886888,8.787108558,0.8888888888888888,0.5555555555555556,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,std,0.125,0.1929274701703267,0.2543864828205175,16,70.0,2.25,2.0,4.375,0.976963325733074,1.0,0.1489715189873418,62.81893992424011,9.508100909,28.406524759000003,0.9375,0.625,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,std,0.75,0.1975561285196292,0.1980871341228471,24,106.0,1.875,1.7916666666666667,4.416666666666667,0.950461032584636,1.0,0.117457805907173,13.90337371826172,3.854732530000001,9.433698183,0.625,0.375,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,std,0.0,0.2006740870817999,0.3166135469938982,9,36.0,1.2222222222222223,2.7777777777777777,4.0,0.972667379643105,1.0,0.2116603295310519,3.213714361190796,1.023551672,1.4558894079999998,0.7777777777777778,0.5555555555555556,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,std,0.11764705882352941,0.196216236571371,0.2092915468484295,17,69.0,1.6470588235294117,2.2941176470588234,4.0588235294117645,0.9782046907910046,1.0,0.1200328039961231,29.829980850219727,6.017110226,15.142401813999998,0.8823529411764706,0.5882352941176471,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,std,0.42857142857142855,0.20622975470665,0.1763676433631839,7,18.0,0.8571428571428571,1.2857142857142858,2.5714285714285716,0.9954031052941582,1.0,0.2645301466594242,10.72498106956482,2.607514578,6.843776847,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,std,0.14285714285714285,0.2084927846082094,0.1688688835487197,7,21.0,2.142857142857143,0.7142857142857143,3.0,0.9710370448862548,1.0,0.1578852073148651,12.597098350524902,2.163604876,5.943802449,0.5714285714285714,0.4285714285714285,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,std,0.75,0.2030657645629127,0.2181544957583051,8,35.0,2.75,0.875,4.375,0.994696862194154,1.0,0.1700949367088607,7.838891267776489,1.904072013,4.073118335999999,1.0,1.0,Correlation,Correlation,Correlation
