model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,std,0,0.192663939730088,0.2477697122121232,16,70.0,4.375,0.0,4.375,0.9931929611123168,1.0,0.2449302915082383,13.840433989,8.034460056,5.7928680230000005,0.9375,0.8125,Correlation,Correlation,Correlation
plain,no_discretization,std,0,0.2019306853863128,0.2164430349058641,14,73.0,5.214285714285714,0.0,5.214285714285714,0.9955864806023408,1.0,0.2211660329531052,11.838492586,7.002085475,4.823375749999999,0.9285714285714286,0.9285714285714286,Correlation,Correlation,Correlation
plain,no_discretization,std,0,0.1985139521407394,0.2112924868852157,14,60.0,4.285714285714286,0.0,4.285714285714286,0.98992297677082,1.0,0.2035125837407206,9.444654619,5.536523311,3.897772141,0.8571428571428571,0.8571428571428571,Correlation,Correlation,Correlation
plain,no_discretization,std,0,0.2009077322430175,0.2505502986747194,10,41.0,4.1,0.0,4.1,0.994881684571378,1.0,0.2132911392405063,6.367050416,3.843805509,2.514231261,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,std,0,0.1944539060948885,0.1892319517113084,12,56.0,4.666666666666667,0.0,4.666666666666667,0.9934974357247062,1.0,0.2133966244725738,9.183827318,5.565295324,3.608861552000001,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,std,0,0.2043933545012566,0.2997399935048992,8,29.0,3.625,0.0,3.625,0.9945810328596985,1.0,0.2550697084917617,5.680822444,3.2521457390000004,2.419026826,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,std,0,0.195306152796433,0.1859011154104946,12,65.0,5.416666666666667,0.0,5.416666666666667,0.9980441064534724,1.0,0.2134558512885509,12.044128123,6.782305877,5.251061411999999,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,std,0,0.2051937663987582,0.1799714712310939,6,27.0,4.5,0.0,4.5,0.9946392121405506,1.0,0.2507393324883819,5.904744711,2.832894963,3.0165143220000004,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,std,0,0.1985848537361862,0.15902058749651,15,78.0,5.2,0.0,5.2,0.9898805028528412,1.0,0.1476130122517955,8.438179331,5.088930009,3.3385138140000006,0.9333333333333332,0.8,Correlation,Correlation,Correlation
plain,no_discretization,std,0,0.1972821420593358,0.1935088896444501,13,45.0,3.4615384615384617,0.0,3.4615384615384617,0.9932762523837962,1.0,0.2211295034079844,8.525028001,5.581539336,2.9339730490000004,1.0,0.7692307692307693,Correlation,Correlation,Correlation
