model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,uis,0.0,0.0681144889017797,0.0830853099831979,7,16.0,1.0,1.2857142857142858,2.2857142857142856,0.999999999999984,1.0,0.289582757667864,12.219581604003906,1.6151873490000002,4.012575288,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,uis,0.0,0.0971825168425812,0.1683662097697947,4,7.0,1.25,0.5,1.75,0.999998848990842,1.0,0.2741779497098646,0.8966264724731445,0.269511747,0.289275264,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,uis,0.0,0.0828838642763489,0.1162017222116151,6,13.0,1.0,1.1666666666666667,2.1666666666666665,0.999999998181285,1.0,0.3574646074646074,5.800243616104126,0.8695080339999999,1.783294618,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,uis,0.0,0.1188814508693647,0.1358651475320027,2,2.0,0.5,0.5,1.0,1.0,1.0,0.5144787644787645,0.644223690032959,0.168493553,0.243805612,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,uis,0.0,0.0759735305785157,0.1357838173632153,6,14.0,1.1666666666666667,1.1666666666666667,2.3333333333333335,0.9999999999985248,1.0,0.2461389961389961,8.569068670272827,1.321573341,4.050430137,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,uis,0.5,0.1190435846203178,0.3686351703564898,2,4.0,0.5,1.0,2.0,1.0,1.0,0.7678916827852997,0.3109920024871826,0.068106196,0.067368329,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,uis,0.16666666666666666,0.1036004862414777,0.1475622131240202,6,12.0,1.6666666666666667,0.16666666666666666,2.0,0.999999999999719,1.0,0.3085106382978723,2.110236644744873,0.568877702,1.069739528,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,uis,0.0,0.1393401260709963,0.0752991409099496,3,5.0,1.0,0.6666666666666666,1.6666666666666667,1.0,1.0,0.5157962604771115,14.466398000717165,0.598426455,0.8996613900000001,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,uis,0.0,0.0888506027878583,0.1321537555730236,4,5.0,0.75,0.5,1.25,0.9999999999999916,1.0,0.4121621621621621,5.8998332023620605,0.8086471660000001,2.500650278,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,uis,0.0,0.1099451857943329,0.1608608165139257,3,4.0,0.3333333333333333,1.0,1.3333333333333333,0.999999999999999,1.0,0.3577863577863577,4.386438369750977,0.480972843,1.137924542,1.0,1.0,Correlation,Correlation,Correlation
