model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,uis,0,0.1020317607424292,0.1608111412996247,17,84.0,0.9411764705882353,4.0,4.9411764705882355,0.990589971638677,1.0,0.1397201046762999,13503.331481773,13390.425181203997,112.88312255400004,0.8823529411764706,0.7647058823529411,Correlation,Correlation,Correlation
complex,no_discretization,uis,0,0.112356518860578,0.1985451214037832,9,36.0,1.0,3.0,4.0,0.99312052213066,1.0,0.2959381044487428,6321.744054413,6270.845395392,50.879023186000005,0.8888888888888888,0.8888888888888888,Correlation,Correlation,Correlation
complex,no_discretization,uis,0,0.1081556481138459,0.1672004224575312,11,64.0,0.8181818181818182,5.0,5.818181818181818,0.9757278337861804,1.0,0.1651456651456651,8014.678655871,7950.326738343,64.33453760100001,0.9090909090909092,0.6363636363636364,Correlation,Correlation,Correlation
complex,no_discretization,uis,0,0.1070823565828785,0.1313911892143376,10,38.0,0.7,3.1,3.8,0.9966083262278064,1.0,0.1971042471042471,4409.810552083,4360.962759501,48.832291333,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,uis,0,0.1165150873890671,0.1815360344511152,11,71.0,0.5454545454545454,5.909090909090909,6.454545454545454,0.993458363064842,1.0,0.154089154089154,7921.67259433,7857.854981692999,63.800402779,0.9090909090909092,0.9090909090909092,Correlation,Correlation,Correlation
complex,no_discretization,uis,0,0.1209187258458377,0.3334534632346398,7,27.0,0.2857142857142857,3.5714285714285716,3.857142857142857,0.9979507390610302,1.0,0.2796352583586626,6729.934736406,6675.131148914,54.787334528,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,uis,0,0.1117118999431787,0.1599690213831439,8,38.0,0.75,4.0,4.75,0.993698789238053,1.0,0.1885880077369439,4070.029809436,4037.767735387,32.246771952,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,uis,0,0.1297520308011811,0.116561623105822,16,96.0,0.875,5.125,6.0,0.9868852902108493,1.0,0.1636847195357833,12978.977211428,12875.684678352,103.245948764,0.875,0.875,Correlation,Correlation,Correlation
complex,no_discretization,uis,0,0.1096926862978983,0.1545886467346451,14,73.0,0.42857142857142855,4.785714285714286,5.214285714285714,0.988961305505214,1.0,0.1503033645890788,8372.80141974,8306.809246256,65.97316263100001,0.8571428571428571,0.7857142857142857,Correlation,Correlation,Correlation
complex,no_discretization,uis,0,0.1110932413116822,0.1666931889764061,13,74.0,0.7692307692307693,4.923076923076923,5.6923076923076925,0.9939685926617452,1.0,0.1667656667656667,12424.712465055,12324.787050774,99.907401549,1.0,1.0,Correlation,Correlation,Correlation
