model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,uis,0.0,0.0595109075280453,0.0687401408606449,7,18.0,1.1428571428571428,1.4285714285714286,2.5714285714285716,0.9999999999644748,1.0,0.1602652666482454,11.573766469955444,1.7493062920000002,3.452989471,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,uis,0.0,0.0971825168425812,0.1683662097697947,4,7.0,1.25,0.5,1.75,0.999998848990842,1.0,0.2741779497098646,0.8672890663146973,0.27637153,0.312181391,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,uis,0.0,0.1012801689651117,0.1384197156415925,5,10.0,1.2,0.8,2.0,0.9999999998009296,1.0,0.415057915057915,5.168390989303589,0.8084827270000001,1.601272328,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,uis,0.3333333333333333,0.1187328437139949,0.1355361284887183,3,4.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.9999130920806528,1.0,0.3629343629343629,0.90348219871521,0.278163288,0.379168007,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,uis,0.0,0.0759735305785157,0.1357838173632153,6,14.0,1.1666666666666667,1.1666666666666667,2.3333333333333335,0.9999999999985248,1.0,0.2461389961389961,7.8495588302612305,1.462358131,3.621564507,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,uis,0.5,0.1040630401355109,0.3973757980717066,6,14.0,0.6666666666666666,1.1666666666666667,2.3333333333333335,0.9979632744374524,1.0,0.4903288201160542,0.6051671504974365,0.226822597,0.203926414,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,uis,0.75,0.0956143194335643,0.149496728958753,4,9.0,0.75,0.75,2.25,1.0,1.0,0.3800773694390715,1.455831527709961,0.351739066,0.641095561,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,uis,0.0,0.1421883376781363,0.076534974957133,4,7.0,1.0,0.75,1.75,1.0,1.0,0.5391682785299807,15.35566520690918,0.899003534,1.226002894,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,uis,0.0,0.1124960370569178,0.1466392099816937,3,4.0,1.0,0.3333333333333333,1.3333333333333333,0.9957547839639904,1.0,0.5463320463320464,5.082149028778076,0.713418962,1.825893684,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,uis,0.14285714285714285,0.0978273224707641,0.1502095214066643,7,13.0,0.8571428571428571,0.8571428571428571,1.8571428571428572,0.988330563360016,1.0,0.3615554329840044,6.195614337921143,1.162985656,2.239582495,0.8571428571428571,0.8571428571428571,Correlation,Correlation,Correlation
