model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,uis,0,0.1121234678818011,0.1522846458587794,12,42.0,3.5,0.0,3.5,0.9978976232975584,1.0,0.225177304964539,25.168800605,19.588543972,5.570979977,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,uis,0,0.1171236893183035,0.2061091014728814,11,35.0,3.1818181818181817,0.0,3.1818181818181817,0.985392367021868,1.0,0.3093019166520134,25.359759991,20.501194894,4.848340175,0.9090909090909092,0.9090909090909092,Correlation,Correlation,Correlation
plain,no_discretization,uis,0,0.1207904174178108,0.1553329699482241,6,16.0,2.6666666666666665,0.0,2.6666666666666665,0.9998532061642088,1.0,0.38996138996139,11.406312109,9.117267875,2.281924313,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,uis,0,0.1160760504923535,0.1400012307039541,4,7.0,1.75,0.0,1.75,0.9999333217989156,1.0,0.402027027027027,7.011155875,5.82512264,1.180411452,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,uis,0,0.1249483955395449,0.177225902654241,5,12.0,2.4,0.0,2.4,0.9994009415653572,1.0,0.4563706563706564,10.62370506,9.570890268,1.046967642,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,uis,0,0.1160201857144003,0.2928333700203057,4,5.0,1.25,0.0,1.25,0.9933128793846012,1.0,0.3370406189555125,4.180637834,3.904773301,0.269787755,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,uis,0,0.115768959024589,0.1633417107148296,16,56.0,3.5,0.0,3.5,0.9976051393474884,1.0,0.2487911025145067,52.685059073,39.764814817,12.911385271,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,uis,0,0.1545350077813792,0.1106736062185918,10,34.0,3.4,0.0,3.4,0.9999082644905408,1.0,0.3098646034816247,26.529117696,20.566729146,5.930419081,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,uis,0,0.1098180074141932,0.1473597714312267,17,56.0,3.2941176470588234,0.0,3.2941176470588234,0.9995814946552224,1.0,0.2431296843061548,27.428419834,21.26695874,6.152071015000001,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,uis,0,0.1112444406246284,0.1559644395371501,15,50.0,3.3333333333333335,0.0,3.3333333333333335,0.9858642574463884,1.0,0.228056628056628,40.916896386,32.382226735,8.526405005,0.8666666666666667,0.8666666666666667,Correlation,Correlation,Correlation
