model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,whas1,0,0.2126245838278564,0.2422327322284515,4,4.0,0.5,0.5,1.0,1.0,1.0,0.371824480369515,10488.936724096,10444.256897822,44.640122738,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,whas1,0,0.2204989092418519,0.2765848055636372,5,7.0,0.6,0.8,1.4,0.9999999601399036,1.0,0.4674364896073902,10451.584284764,10408.945144136,42.62549172400001,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,whas1,0,0.2153694768301807,0.221168844410077,8,34.0,0.875,3.375,4.25,0.9986584424088828,1.0,0.4087759815242494,23010.262541092,22915.191216170995,95.05764110399998,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,whas1,0,0.1984566883598866,0.2206651451654313,6,19.0,0.6666666666666666,2.5,3.1666666666666665,0.9961025337143328,1.0,0.2644341801385682,18227.858098631,18150.407410789,77.43756585700001,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,whas1,0,0.2031405522090569,0.1913216203014322,10,47.0,1.0,3.7,4.7,0.9938064091296684,1.0,0.3290993071593533,36550.473492117,36400.336715445,150.123031925,0.9,0.9,Correlation,Correlation,Correlation
complex,no_discretization,whas1,0,0.2006423268609709,0.217083976249328,6,10.0,0.8333333333333334,0.8333333333333334,1.6666666666666667,0.9999999999999912,1.0,0.4822940723633564,22058.603690545,21960.168099926,98.421018493,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,whas1,0,0.1985849181552792,0.1742993129313134,6,34.0,1.0,4.666666666666667,5.666666666666667,0.9995822331459256,1.0,0.3264049268668206,29618.978331198,29496.88317471,122.07941736000002,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,whas1,0,0.1982953716913283,0.1306454354014204,7,32.0,0.8571428571428571,3.7142857142857144,4.571428571428571,0.9999999999987008,1.0,0.4087301587301586,21570.245677974,21480.811638611,89.41835217,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,whas1,0,0.2177171763632767,0.2251831695102011,5,7.0,0.8,0.6,1.4,0.999999984480118,1.0,0.5450346420323327,14989.842326123,14928.177264547,61.653929918,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,whas1,0,0.2165848041211329,0.2101585989734182,5,16.0,0.8,2.4,3.2,0.9943604643137456,1.0,0.3219399538106235,14279.34658288,14220.972257977995,58.364414307,1.0,1.0,Correlation,Correlation,Correlation
