model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,whas1,0.0,0.2254315671161401,0.2602621361913841,2,2.0,1.0,0.0,1.0,1.0,1.0,0.5,0.026458740234375,0.008688582,0.004002699,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,whas1,0.0,0.2191262564895642,0.2939096457858879,2,2.0,1.0,0.0,1.0,1.0,1.0,0.5207852193995381,0.0855743885040283,0.038580591,0.007380185,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,whas1,0.2,0.1994002548457564,0.2035650982790449,5,11.0,1.0,1.0,2.2,0.9928178977314576,1.0,0.2951501154734411,0.7212381362915039,0.1750946629999999,0.10209356,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,whas1,0.0,0.2079222530006779,0.2246992678034054,6,10.0,0.8333333333333334,0.8333333333333334,1.6666666666666667,0.9999999918525508,1.0,0.4287913779830639,0.3389894962310791,0.144641316,0.1183215669999999,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,whas1,0.2857142857142857,0.1943731517852591,0.1465126185919623,7,22.0,2.0,0.8571428571428571,3.142857142857143,0.9986656054376624,1.0,0.2378752886836028,2.2648489475250244,0.6078384480000001,0.8368720460000001,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,whas1,0.6666666666666666,0.2187613960293557,0.2476242158517405,3,5.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.0,1.0,0.354888375673595,0.1275038719177246,0.052980067,0.023275179,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,whas1,0.2,0.2170915297852877,0.2323818056956395,5,17.0,0.8,2.4,3.4,0.9933119334491968,1.0,0.2189376443418014,0.90132737159729,0.230755978,0.195862695,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,whas1,0.0,0.2192180408505889,0.1494098102770232,4,4.0,0.75,0.25,1.0,0.9999997678346284,1.0,0.6736111111111112,1.1758804321289062,0.346968989,0.367881746,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,whas1,0.25,0.2247398448883783,0.2126846548379766,4,4.0,0.75,0.0,1.0,1.0,1.0,0.687066974595843,0.0973563194274902,0.047086911,0.0108779609999999,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,whas1,0.4,0.2210092337119843,0.2096891247830798,5,9.0,0.4,1.0,1.8,0.9999999999999049,1.0,0.5584295612009237,0.2240989208221435,0.096378057,0.052400186,1.0,1.0,Correlation,Correlation,Correlation
