model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,whas500,0.0,0.1736014981206529,0.2187984149711182,3,5.0,1.0,0.6666666666666666,1.6666666666666667,0.9999999999999368,1.0,0.3814814814814815,0.2004430294036865,0.076565682,0.0456566699999999,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,whas500,0.0,0.1838353953672167,0.1883332335920458,3,7.0,2.0,0.3333333333333333,2.3333333333333335,0.9999999994588724,1.0,0.3955555555555555,1.713792085647583,1.037586429,0.261822078,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,whas500,0.3333333333333333,0.1649161067748113,0.1888522191513897,6,15.0,0.5,1.6666666666666667,2.5,0.9999999979348376,1.0,0.2885185185185185,0.4353139400482178,0.178420966,0.149493991,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,whas500,0.0,0.189844588268369,0.2581980888071317,2,2.0,1.0,0.0,1.0,1.0,1.0,0.5,0.1341173648834228,0.052400519,0.023629314,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,whas500,0.125,0.1722511361177637,0.1636584848374274,8,23.0,1.5,1.25,2.875,0.9995111589837976,1.0,0.3061111111111111,2.289636850357056,0.612625148,0.668364267,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,whas500,0.3333333333333333,0.2062324905141533,0.1701646835076515,6,15.0,1.0,1.1666666666666667,2.5,0.9997828119102764,1.0,0.2907407407407407,0.207951545715332,0.099198654,0.048664178,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,whas500,0.2,0.1976426028833216,0.2421374332180251,5,13.0,1.4,1.0,2.6,0.9963864230388696,1.0,0.2275555555555555,0.391958475112915,0.147970374,0.124919706,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,whas500,0.2857142857142857,0.1872096956467352,0.1944818172847486,7,16.0,1.1428571428571428,0.8571428571428571,2.2857142857142856,0.9999992687632486,1.0,0.2806349206349206,0.2143089771270752,0.105847209,0.0504439079999999,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,whas500,0.25,0.1890338024527257,0.2211568690440921,4,5.0,0.75,0.25,1.25,0.9998189672648335,1.0,0.5394444444444445,0.5377223491668701,0.178423528,0.282587064,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,whas500,0.0,0.174873046755997,0.1459844084281157,3,4.0,1.0,0.3333333333333333,1.3333333333333333,1.0,1.0,0.3762962962962963,0.545229434967041,0.155746816,0.175278257,1.0,1.0,Correlation,Correlation,Correlation
