model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,whas500,0,0.1888428220835961,0.2621394429529484,4,4.0,1.0,0.0,1.0,1.0,1.0,0.5933333333333334,134.123035995,101.390659034,32.726896954000004,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,whas500,0,0.1804805670661438,0.1751406206555221,8,16.0,2.0,0.0,2.0,0.9999999685493206,1.0,0.2922222222222222,129.970212077,81.26176232200001,48.702536067,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,whas500,0,0.1684589826100793,0.2000280645022511,8,16.0,2.0,0.0,2.0,0.999999999979426,1.0,0.415,241.701863229,168.634575547,73.06112379599999,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,whas500,0,0.1750456386132842,0.2325901182180891,6,16.0,2.6666666666666665,0.0,2.6666666666666665,0.990895183144748,1.0,0.2788888888888889,58.448863189,35.705780917,22.737949674,0.8333333333333334,0.8333333333333334,Correlation,Correlation,Correlation
plain,no_discretization,whas500,0,0.1826586762979692,0.1790481593151891,6,11.0,1.8333333333333333,0.0,1.8333333333333333,0.9999810855928688,1.0,0.4207407407407407,182.905737512,136.846669119,46.053898204,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,whas500,0,0.1800476049852179,0.1981371167744055,6,12.0,2.0,0.0,2.0,0.991595392692288,1.0,0.3037037037037036,55.524066378,34.375403967,21.142382907,0.8333333333333334,0.8333333333333334,Correlation,Correlation,Correlation
plain,no_discretization,whas500,0,0.1945753625614274,0.1979138750235189,3,3.0,1.0,0.0,1.0,1.0,1.0,0.6044444444444445,107.697596301,72.982243644,34.710241229000005,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,whas500,0,0.1877065627292548,0.1707540388882602,5,5.0,1.0,0.0,1.0,0.9999999998678586,1.0,0.5111111111111111,170.011582871,122.330707205,47.675463374,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,whas500,0,0.1788192957136992,0.2240464120125135,4,5.0,1.25,0.0,1.25,0.9999999999994482,1.0,0.4322222222222222,43.067512738,24.931192574,18.131080037,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,whas500,0,0.1822394679679907,0.1772003289962448,5,9.0,1.8,0.0,1.8,0.9999999978633064,1.0,0.3484444444444444,90.084188408,64.686226387,25.392730268,1.0,1.0,Correlation,Correlation,Correlation
