model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,zinc,0.0,0.0866511330283271,0.0888892555010964,5,18.0,0.8,2.8,3.6,0.9999998915935698,1.0,0.2134020618556701,0.1253900527954101,0.058396825,0.043510619,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,zinc,0.0,0.0923543471247524,0.1150720026871952,2,2.0,0.5,0.5,1.0,1.0,1.0,0.5927835051546392,0.060685396194458,0.029430718,0.013393534,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,zinc,0.0,0.1047377181559179,0.1081791134589114,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0085647106170654,0.000542463,0.000246921,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,zinc,0.0,0.0831165521973371,0.1210761836743117,5,12.0,1.2,1.2,2.4,0.9999999999999922,1.0,0.2438144329896907,0.1939029693603515,0.079697387,0.088691542,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,zinc,0.5,0.0827967755297977,0.1605077871828092,4,9.0,0.5,1.25,2.25,0.9999999999999992,1.0,0.2899484536082474,0.159252643585205,0.067801882,0.059053625,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,zinc,0.0,0.088965075813615,0.0656403136769997,6,13.0,1.0,1.1666666666666667,2.1666666666666665,0.9740202607360656,1.0,0.3367697594501718,0.1254723072052002,0.060591209,0.043659223,0.8333333333333334,0.8333333333333334,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,zinc,0.5,0.094147129662362,0.0494621201005522,2,3.0,1.0,0.0,1.5,1.0,1.0,0.4987113402061855,0.0367295742034912,0.013353803,0.007151301,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,zinc,0.0,0.0996955148212539,0.0918259968003269,2,2.0,0.0,1.0,1.0,0.9999999990282696,1.0,0.5,0.0182602405548095,0.0054595589999999,0.001652525,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,zinc,0.0,0.0924122687680618,0.0909960641026546,3,4.0,0.0,1.3333333333333333,1.3333333333333333,0.999999999999896,1.0,0.5807560137457045,0.0489389896392822,0.02293094,0.005961001,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,zinc,0.0,0.087414178308159,0.0912470988263711,5,16.0,2.4,0.8,3.2,0.9999999999999936,1.0,0.2634020618556701,0.2671711444854736,0.089169352,0.145098145,1.0,1.0,Correlation,Correlation,Correlation
