model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,zinc,0,0.0834755330185369,0.0889748794271872,6,15.0,0.16666666666666666,2.3333333333333335,2.5,0.9999999999999288,1.0,0.320446735395189,3442.853220321,3243.887679086,198.907361844,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,zinc,0,0.081469561823158,0.1266851964543542,5,11.0,0.0,2.2,2.2,0.999999999953402,1.0,0.265979381443299,3119.313212323,2911.3871876430003,207.866730758,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,zinc,0,0.0907216725315765,0.1077414702630477,2,2.0,0.0,1.0,1.0,1.0,1.0,0.5515463917525774,1049.785064234,975.493613892,74.241539687,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,zinc,0,0.0817537026106297,0.1306986309107453,6,18.0,0.0,3.0,3.0,0.999962666492656,1.0,0.1937285223367697,4008.89650778,3742.513812747,266.325890347,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,zinc,0,0.0799894783948703,0.1518436784161564,5,12.0,0.0,2.4,2.4,0.9999999999999996,1.0,0.2804123711340206,3785.856871828,3550.9313340420003,234.870173423,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,zinc,0,0.0899081751861213,0.0616452883550836,4,12.0,0.0,3.0,3.0,0.9999999999984868,1.0,0.2609536082474226,2431.707741323,2315.472699963,116.183023288,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,zinc,0,0.0919135327413172,0.0537141958581815,4,7.0,0.0,1.75,1.75,0.9999999982573884,1.0,0.3125,2609.063026633,2446.826923562,162.17911070099998,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,zinc,0,0.0889154964507658,0.0855719076264937,4,4.0,0.0,1.0,1.0,1.0,1.0,0.3120155038759689,2368.25568026,2213.416629848,154.662797969,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,zinc,0,0.0850028846916988,0.0879423372072194,4,7.0,0.25,1.5,1.75,0.9999999999237836,1.0,0.345360824742268,1522.316748028,1423.094355318,99.173079463,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,zinc,0,0.0852606824388835,0.0816335463210916,9,27.0,0.0,3.0,3.0,0.9999975287545022,1.0,0.1400343642611684,6588.198320455,6142.471178981001,445.662107624,1.0,1.0,Correlation,Correlation,Correlation
