model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,zinc,0.0,0.0866511330283271,0.0888892555010964,5,18.0,0.8,2.8,3.6,0.9999998915935698,1.0,0.2134020618556701,0.1238055229187011,0.059572428,0.042942478,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,zinc,0.0,0.0923543471247524,0.1150720026871952,2,2.0,0.5,0.5,1.0,1.0,1.0,0.5927835051546392,0.0546555519104003,0.024702933,0.012739336,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,zinc,0.0,0.1047377181559179,0.1081791134589114,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0098786354064941,0.000721206,0.000250177,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,zinc,0.0,0.0831165521973371,0.1210761836743117,5,12.0,1.2,1.2,2.4,0.9999999999999922,1.0,0.2438144329896907,0.1863546371459961,0.075228238,0.088855328,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,zinc,1.0,0.0801964725561114,0.1608976606357359,5,12.0,0.4,1.0,2.4,0.9999999999999796,1.0,0.25,0.1732871532440185,0.07665914,0.06857804,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,zinc,0.0,0.088965075813615,0.0656403136769997,6,13.0,1.0,1.1666666666666667,2.1666666666666665,0.9740202607360656,1.0,0.3367697594501718,0.1245930194854736,0.062338618,0.043558678,0.8333333333333334,0.8333333333333334,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,zinc,0.6666666666666666,0.0934771985355629,0.0474326622530719,3,5.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.9999999371373076,1.0,0.3505154639175257,0.0494749546051025,0.023652825,0.010175093,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,zinc,0.0,0.0996955148212539,0.0918259968003269,2,2.0,0.0,1.0,1.0,0.9999999990282696,1.0,0.5,0.0190029144287109,0.005756864,0.001588113,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,zinc,0.4,0.0903781602093937,0.0899574729916456,5,8.0,0.6,0.6,1.6,0.9999405863149802,1.0,0.3505154639175257,0.0670008659362793,0.038353652,0.0113564869999999,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,zinc,0.0,0.087414178308159,0.0912470988263711,5,16.0,2.4,0.8,3.2,0.9999999999999936,1.0,0.2634020618556701,0.2700808048248291,0.095659753,0.145146274,1.0,1.0,Correlation,Correlation,Correlation
