model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,zinc,0,0.0835029784554067,0.0868224344748245,9,29.0,3.2222222222222223,0.0,3.2222222222222223,0.9999999749037272,1.0,0.1741122565864834,9.266071424,7.667820280999999,1.5824136719999995,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,zinc,0,0.081097639523143,0.1311288201841692,7,18.0,2.5714285714285716,0.0,2.5714285714285716,0.9999999999681918,1.0,0.2039764359351988,8.284336932,6.868922354,1.3997112429999998,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,zinc,0,0.0849886555587417,0.0876557317200949,8,21.0,2.625,0.0,2.625,0.9999891945433884,1.0,0.1916881443298969,9.94689655,8.269701979,1.6612058129999998,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,zinc,0,0.0775143907626693,0.1252304644027489,9,26.0,2.888888888888889,0.0,2.888888888888889,0.9886200698906646,1.0,0.1526345933562428,7.556297852,6.299105263,1.24127563,0.8888888888888888,0.8888888888888888,Correlation,Correlation,Correlation
plain,no_discretization,zinc,0,0.0790982462998527,0.1559093934758747,10,23.0,2.3,0.0,2.3,0.9999594914725596,1.0,0.1623711340206185,14.589474652,11.825453466999996,2.747717173,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,zinc,0,0.0894042532093347,0.0637291840317043,3,9.0,3.0,0.0,3.0,1.0,1.0,0.3530927835051546,3.293521498,2.777098033,0.501580108,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,zinc,0,0.0874538377435252,0.0520962347226164,11,29.0,2.6363636363636362,0.0,2.6363636363636362,0.999999968907666,1.0,0.1431583880037488,8.973546789,7.806923887999999,1.1510212859999998,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,zinc,0,0.0883649364924744,0.081245306988184,6,15.0,2.5,0.0,2.5,0.9999998017271364,1.0,0.2476313522825151,7.692594825,6.468372651,1.20841125,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,zinc,0,0.082947661645268,0.0750311666261116,14,34.0,2.4285714285714284,0.0,2.4285714285714284,0.993849764694343,1.0,0.125,21.033510791,17.416580516,3.6001055900000005,0.9285714285714286,0.9285714285714286,Correlation,Correlation,Correlation
plain,no_discretization,zinc,0,0.0860354235100814,0.0766365049787775,7,19.0,2.7142857142857144,0.0,2.7142857142857144,0.958964706083934,1.0,0.187039764359352,5.817840612,4.963181457,0.839291114,0.8571428571428571,0.8571428571428571,Correlation,Correlation,Correlation
